tier,headword,part_of_speech,english_definition,draft_de,corrected_translation,reviewer_notes
curated,steam,noun,the hot white gas that comes off boiling water,der Dampf,,
curated,steel,noun,a strong hard metal made mostly of iron,der Stahl,,
curated,strap,noun,a narrow band of leather or cloth for carrying or fastening,der Riemen,,
curated,streetlight,noun,a tall lamp that lights a street at night,die Straßenlaterne,,
curated,suppose,verb,to think something is probably true,annehmen,,
curated,survive,verb,to stay alive or keep existing through a hard time,überleben,,
curated,suspect,verb,"to think something is probably true, without being sure",vermuten,,
curated,swindle,noun,a clever trick to take someone's money,der Betrug,,
curated,switch,verb,to change from one thing to another; to turn on or off,wechseln / schalten,,
curated,tape,verb,to stick something using sticky tape,kleben,,
curated,thread,noun,a thin line of something; the line of an idea,der Faden,,
curated,tiny,adjective,extremely small,winzig,,
curated,torn,adjective,pulled apart or damaged; ripped,zerrissen,,
curated,tray,noun,a flat object for carrying or holding things,das Tablett,,
curated,trot,verb,"to move at a quick, light run",traben,,
curated,truth,noun,what is really true,die Wahrheit,,
curated,unfamiliar,adjective,not known to you,unbekannt,,
curated,unkind,adjective,not kind; a little cruel,unfreundlich,,
curated,update,verb,to add the newest information to something,aktualisieren,,
curated,useless,adjective,of no use; not working,nutzlos,,
curated,van,noun,a covered vehicle for carrying goods,der Lieferwagen,,
curated,vanish,verb,to disappear suddenly and completely,verschwinden,,
curated,vast,adjective,extremely large in size or amount,riesig,,
curated,vehicle,noun,a machine such as a car or van that carries people or goods,das Fahrzeug,,
curated,visible,adjective,that can be seen,sichtbar,,
curated,warmth,noun,the quality of being warm; gentle heat,die Wärme,,
curated,waste,verb,"to use time or money badly, for nothing",verschwenden,,
curated,watchman,noun,"a person who guards a building, especially at night",der Wächter,,
curated,wave,verb,to move your hand to say hello or goodbye,winken,,
curated,weed,noun,a wild plant growing where it is not wanted,das Unkraut,,
curated,weep,verb,to cry,weinen,,
curated,whoever,pronoun,any person who; the person who,wer auch immer,,
curated,windscreen,noun,the big glass window at the front of a car,die Windschutzscheibe,,
curated,within,preposition,inside; before the end of a period,innerhalb,,
curated,wrap,verb,to put something around another thing to cover it,einwickeln,,
coverage,able,,,fähig,,
coverage,about,,,über,,
coverage,above,,,über,,
coverage,accident,,,der Unfall,,
coverage,across,,,über,,
coverage,add,,,hinzufügen,,
coverage,address,,,die Adresse,,
coverage,advice,,,der Rat,,
coverage,against,,,gegen,,
coverage,ago,,,vor,,
coverage,air,,,die Luft,,
coverage,almost,,,fast,,
coverage,alone,,,allein,,
coverage,along,,,entlang,,
coverage,already,,,schon,,
coverage,always,,,immer,,
coverage,another,,,noch ein,,
coverage,answer,,,antworten,,
coverage,anyone,,,irgendjemand,,
coverage,anything,,,irgendetwas,,
coverage,anywhere,,,irgendwo,,
coverage,around,,,herum,,
coverage,arrive,,,ankommen,,
coverage,ask,,,fragen,,
coverage,away,,,weg,,
coverage,back,,,zurück,,
coverage,bag,,,die Tasche,,
coverage,bank,,,die Bank/das Ufer,,
coverage,bar,,,die Bar,,
coverage,bed,,,das Bett,,
coverage,begin,,,beginnen,,
coverage,begun,,,begonnen,,
coverage,behind,,,hinter,,
coverage,believe,,,glauben,,
coverage,belong,,,gehören,,
coverage,below,,,unten,,
coverage,beneath,,,unter,,
coverage,beside,,,neben,,
coverage,best,,,am besten,,
coverage,better,,,besser,,
coverage,big,,,groß,,
coverage,black,,,schwarz,,
coverage,board,,,die Tafel,,
coverage,book,,,das Buch,,
coverage,both,,,beide,,
coverage,bottom,,,der Boden,,
coverage,breakfast,,,das Frühstück,,
coverage,bridge,,,die Brücke,,
coverage,bright,,,hell,,
coverage,brother,,,der Bruder,,
coverage,brought,,,brachte,,
coverage,building,,,das Gebäude,,
coverage,burn,,,brennen,,
coverage,bus,,,der Bus,,
coverage,business,,,das Geschäft,,
coverage,cab,,,das Taxi,,
coverage,cafe,,,das Café,,
coverage,call,,,anrufen,,
coverage,calm,,,ruhig,,
coverage,came,,,kam,,
coverage,cannot,,,kann nicht,,
coverage,cap,,,die Mütze,,
coverage,car,,,das Auto,,
coverage,card,,,die Karte,,
coverage,care,,,die Sorge,,
coverage,careful,,,vorsichtig,,
coverage,carry,,,tragen,,
coverage,case,,,der Fall,,
coverage,catch,,,fangen,,
coverage,certain,,,sicher,,
coverage,chair,,,der Stuhl,,
coverage,chance,,,die Chance,,
coverage,change,,,ändern,,
coverage,circle,,,der Kreis,,
coverage,city,,,die Stadt,,
coverage,clean,,,sauber,,
coverage,clear,,,klar,,
coverage,climb,,,klettern,,
coverage,clock,,,die Uhr,,
coverage,close,,,schließen,,
coverage,cloth,,,der Stoff,,
coverage,coat,,,der Mantel,,
coverage,coffee,,,der Kaffee,,
coverage,cold,,,kalt,,
coverage,collar,,,der Kragen,,
coverage,colour,,,die Farbe,,
coverage,come,,,kommen,,
coverage,comfortable,,,bequem,,
coverage,company,,,die Firma,,
coverage,complete,,,vollständig,,
coverage,corner,,,die Ecke,,
coverage,cost,,,kosten,,
coverage,count,,,zählen,,
coverage,counter,,,die Theke,,
coverage,country,,,das Land,,
coverage,course,,,der Kurs,,
coverage,cross,,,überqueren,,
coverage,cup,,,die Tasse,,
coverage,dad,,,der Papa,,
coverage,dark,,,dunkel,,
coverage,date,,,das Datum,,
coverage,dawn,,,die Morgendämmerung,,
coverage,day,,,der Tag,,
coverage,dead,,,tot,,
coverage,deal,,,der Deal,,
coverage,decide,,,entscheiden,,
coverage,degree,,,der Grad,,
coverage,delivery,,,die Lieferung,,
coverage,desk,,,der Schreibtisch,,
coverage,direction,,,die Richtung,,
coverage,door,,,die Tür,,
coverage,draw,,,zeichnen,,
coverage,dress,,,das Kleid,,
coverage,drive,,,fahren,,
coverage,driver,,,der Fahrer,,
coverage,dying,,,sterbend,,
coverage,early,,,früh,,
coverage,easy,,,einfach,,
coverage,edge,,,der Rand,,
coverage,eight,,,acht,,
coverage,either,,,entweder,,
coverage,eleven,,,elf,,
coverage,else,,,sonst,,
coverage,empty,,,leer,,
coverage,end,,,das Ende,,
coverage,engine,,,der Motor,,
coverage,enough,,,genug,,
coverage,even,,,sogar,,
coverage,everybody,,,jeder,,
coverage,everyone,,,jeder,,
coverage,everything,,,alles,,
coverage,everywhere,,,überall,,
coverage,exactly,,,genau,,
coverage,except,,,außer,,
coverage,exit,,,der Ausgang,,
coverage,expect,,,erwarten,,
coverage,explain,,,erklären,,
coverage,extra,,,zusätzlich,,
coverage,eye,,,das Auge,,
coverage,face,,,das Gesicht,,
coverage,fact,,,die Tatsache,,
coverage,far,,,weit,,
coverage,fast,,,schnell,,
coverage,father,,,der Vater,,
coverage,feel,,,fühlen,,
coverage,figure,,,die Gestalt,,
coverage,final,,,endgültig,,
coverage,find,,,finden,,
coverage,finger,,,der Finger,,
coverage,finish,,,beenden,,
coverage,first,,,erste,,
coverage,five,,,fünf,,
coverage,fix,,,reparieren,,
coverage,flat,,,die Wohnung/flach,,
coverage,floor,,,der Boden/Stock,,
coverage,follow,,,folgen,,
coverage,foot,,,der Fuß,,
coverage,force,,,die Kraft/zwingen,,
coverage,forgotten,,,vergessen,,
coverage,form,,,das Formular,,
coverage,found,,,fand,,
coverage,four,,,vier,,
coverage,fourth,,,vierte,,
coverage,free,,,frei/kostenlos,,
coverage,front,,,die Vorderseite,,
coverage,full,,,voll,,
coverage,gap,,,die Lücke,,
coverage,gate,,,das Tor,,
coverage,gather,,,sammeln,,
coverage,get,,,bekommen,,
coverage,girl,,,das Mädchen,,
coverage,give,,,geben,,
coverage,glass,,,das Glas,,
coverage,go,,,gehen,,
coverage,gone,,,weg,,
coverage,good,,,gut,,
coverage,got,,,bekam,,
coverage,great,,,großartig,,
coverage,green,,,grün,,
coverage,grey,,,grau,,
coverage,grow,,,wachsen,,
coverage,guard,,,der Wächter,,
coverage,guess,,,raten,,
coverage,half,,,die Hälfte,,
coverage,hall,,,die Halle,,
coverage,hand,,,die Hand,,
coverage,happen,,,passieren,,
coverage,hard,,,hart,,
coverage,hate,,,hassen,,
coverage,head,,,der Kopf,,
coverage,hear,,,hören,,
coverage,heard,,,hörte,,
coverage,heart,,,das Herz,,
coverage,heater,,,die Heizung,,
coverage,help,,,helfen,,
coverage,hidden,,,versteckt,,
coverage,high,,,hoch,,
coverage,hire,,,einstellen,,
coverage,hold,,,halten,,
coverage,home,,,das Zuhause,,
coverage,honest,,,ehrlich,,
coverage,hope,,,hoffen,,
coverage,hot,,,heiß,,
coverage,hotel,,,das Hotel,,
coverage,hour,,,die Stunde,,
coverage,hundred,,,hundert,,
coverage,hurry,,,sich beeilen,,
coverage,hurt,,,wehtun,,
coverage,hut,,,die Hütte,,
coverage,idea,,,die Idee,,
coverage,inside,,,drinnen,,
coverage,job,,,der Job,,
coverage,joke,,,der Witz,,
coverage,keep,,,behalten,,
coverage,key,,,der Schlüssel,,
coverage,kind,,,freundlich,,
coverage,kitchen,,,die Küche,,
coverage,know,,,wissen,,
coverage,known,,,bekannt,,
coverage,lamp,,,die Lampe,,
coverage,large,,,groß,,
coverage,last,,,letzte,,
coverage,late,,,spät,,
coverage,laugh,,,lachen,,
coverage,learnt,,,lernte,,
coverage,least,,,am wenigsten,,
coverage,leave,,,verlassen,,
coverage,left,,,links,,
coverage,length,,,die Länge,,
coverage,less,,,weniger,,
coverage,let,,,lassen,,
coverage,letter,,,der Brief,,
coverage,lie,,,lügen/liegen,,
coverage,life,,,das Leben,,
coverage,light,,,das Licht,,
coverage,like,,,mögen/wie,,
coverage,line,,,die Linie,,
coverage,list,,,die Liste,,
coverage,listen,,,zuhören,,
coverage,little,,,wenig,,
coverage,load,,,laden,,
coverage,lock,,,abschließen,,
coverage,long,,,lang,,
coverage,look,,,schauen,,
coverage,lose,,,verlieren,,
coverage,lost,,,verloren,,
coverage,lot,,,viel,,
coverage,loud,,,laut,,
coverage,love,,,lieben,,
coverage,low,,,niedrig,,
coverage,luck,,,das Glück,,
coverage,machine,,,die Maschine,,
coverage,man,,,der Mann,,
coverage,manage,,,schaffen,,
coverage,map,,,die Karte,,
coverage,mark,,,die Marke,,
coverage,market,,,der Markt,,
coverage,matter,,,wichtig sein,,
coverage,maybe,,,vielleicht,,
coverage,mean,,,bedeuten,,
coverage,meant,,,meinte,,
coverage,meet,,,treffen,,
coverage,met,,,traf,,
coverage,metal,,,das Metall,,
coverage,mind,,,der Verstand,,
coverage,minute,,,die Minute,,
coverage,mirror,,,der Spiegel,,
coverage,miss,,,verpassen,,
coverage,mistake,,,der Fehler,,
coverage,mobile,,,das Handy,,
coverage,moment,,,der Moment,,
coverage,money,,,das Geld,,
coverage,month,,,der Monat,,
coverage,morning,,,der Morgen,,
coverage,mother,,,die Mutter,,
coverage,move,,,bewegen,,
coverage,name,,,der Name,,
coverage,narrow,,,eng,,
coverage,near,,,nahe,,
coverage,neck,,,der Hals,,
coverage,need,,,brauchen,,
coverage,never,,,nie,,
coverage,new,,,neu,,
coverage,next,,,nächste,,
coverage,night,,,die Nacht,,
coverage,nine,,,neun,,
coverage,nobody,,,niemand,,
coverage,normal,,,normal,,
coverage,note,,,die Notiz,,
coverage,nothing,,,nichts,,
coverage,notice,,,bemerken,,
coverage,now,,,jetzt,,
coverage,nowhere,,,nirgendwo,,
coverage,number,,,die Nummer,,
coverage,odd,,,seltsam,,
coverage,off,,,aus,,
coverage,office,,,das Büro,,
coverage,old,,,alt,,
coverage,onto,,,auf,,
coverage,open,,,öffnen,,
coverage,other,,,andere,,
coverage,outside,,,draußen,,
coverage,own,,,eigen,,
coverage,page,,,die Seite,,
coverage,paid,,,bezahlte,,
coverage,paint,,,die Farbe,,
coverage,pair,,,das Paar,,
coverage,paper,,,das Papier,,
coverage,park,,,der Park,,
coverage,part,,,der Teil,,
coverage,pass,,,vorbeigehen,,
coverage,past,,,vorbei,,
coverage,pay,,,bezahlen,,
coverage,people,,,die Leute,,
coverage,perfect,,,perfekt,,
coverage,perhaps,,,vielleicht,,
coverage,person,,,die Person,,
coverage,phone,,,das Telefon,,
coverage,photo,,,das Foto,,
coverage,piece,,,das Stück,,
coverage,place,,,der Ort,,
coverage,plain,,,schlicht,,
coverage,plant,,,die Pflanze,,
coverage,platform,,,der Bahnsteig,,
coverage,please,,,bitte,,
coverage,pocket,,,die Tasche,,
coverage,point,,,der Punkt,,
coverage,post,,,die Post,,
coverage,print,,,drucken,,
coverage,probably,,,wahrscheinlich,,
coverage,problem,,,das Problem,,
coverage,proof,,,der Beweis,,
coverage,prove,,,beweisen,,
coverage,pull,,,ziehen,,
coverage,push,,,drücken,,
coverage,put,,,setzen,,
coverage,quarter,,,das Viertel,,
coverage,question,,,die Frage,,
coverage,quiet,,,ruhig,,
coverage,quietly,,,leise,,
coverage,quite,,,ziemlich,,
coverage,radio,,,das Radio,,
coverage,reach,,,erreichen,,
coverage,read,,,lesen,,
coverage,ready,,,bereit,,
coverage,real,,,echt,,
coverage,reason,,,der Grund,,
coverage,register,,,registrieren,,
coverage,rest,,,die Ruhe/der Rest,,
coverage,return,,,zurückkehren,,
coverage,right,,,rechts/richtig,,
coverage,ring,,,klingeln,,
coverage,river,,,der Fluss,,
coverage,road,,,die Straße,,
coverage,room,,,das Zimmer,,
coverage,round,,,rund/herum,,
coverage,rower,,,der Ruderer,,
coverage,rub,,,reiben,,
coverage,run,,,laufen,,
coverage,said,,,sagte,,
coverage,same,,,gleich,,
coverage,sat,,,saß,,
coverage,save,,,retten/sparen,,
coverage,saw,,,sah,,
coverage,say,,,sagen,,
coverage,second,,,zweite,,
coverage,see,,,sehen,,
coverage,seem,,,scheinen,,
coverage,sell,,,verkaufen,,
coverage,send,,,senden,,
coverage,sense,,,der Sinn,,
coverage,sent,,,schickte,,
coverage,set,,,stellen,,
coverage,seven,,,sieben,,
coverage,shake,,,schütteln,,
coverage,shape,,,die Form,,
coverage,share,,,teilen,,
coverage,sheet,,,das Blatt,,
coverage,shop,,,der Laden,,
coverage,short,,,kurz,,
coverage,shot,,,der Schuss,,
coverage,shoulder,,,die Schulter,,
coverage,show,,,zeigen,,
coverage,shut,,,schließen,,
coverage,side,,,die Seite,,
coverage,sign,,,das Schild,,
coverage,silence,,,die Stille,,
coverage,simple,,,einfach,,
coverage,since,,,seit,,
coverage,single,,,einzeln,,
coverage,sister,,,die Schwester,,
coverage,sit,,,sitzen,,
coverage,six,,,sechs,,
coverage,sixty,,,sechzig,,
coverage,sky,,,der Himmel,,
coverage,sleep,,,schlafen,,
coverage,slow,,,langsam,,
coverage,small,,,klein,,
coverage,smart,,,schick,,
coverage,smell,,,der Geruch,,
coverage,smile,,,lächeln,,
coverage,smooth,,,glatt,,
coverage,soften,,,weich werden,,
coverage,somebody,,,jemand,,
coverage,someone,,,jemand,,
coverage,something,,,etwas,,
coverage,somewhere,,,irgendwo,,
coverage,sorry,,,Entschuldigung,,
coverage,sort,,,die Sorte,,
coverage,sound,,,der Klang,,
coverage,spare,,,Ersatz-,,
coverage,speak,,,sprechen,,
coverage,spent,,,verbrachte,,
coverage,spring,,,der Frühling,,
coverage,square,,,der Platz,,
coverage,stairs,,,die Treppe,,
coverage,stamp,,,die Briefmarke,,
coverage,stand,,,stehen,,
coverage,start,,,anfangen,,
coverage,station,,,der Bahnhof,,
coverage,stay,,,bleiben,,
coverage,step,,,der Schritt/die Stufe,,
coverage,still,,,noch,,
coverage,stone,,,der Stein,,
coverage,stop,,,anhalten,,
coverage,story,,,die Geschichte,,
coverage,straight,,,gerade,,
coverage,strange,,,seltsam,,
coverage,stranger,,,der Fremde,,
coverage,street,,,die Straße,,
coverage,strong,,,stark,,
coverage,suit,,,der Anzug,,
coverage,sure,,,sicher,,
coverage,surprise,,,die Überraschung,,
