tier,headword,part_of_speech,english_definition,draft_it,corrected_translation,reviewer_notes
curated,lean,verb,"to rest against something, or to bend your body",appoggiarsi / piegarsi,,
curated,letterhead,noun,the printed name and address at the top of a firm's paper,la carta intestata,,
curated,lobby,noun,the open area just inside the entrance of a building,l'atrio,,
curated,lone,adjective,single; on its own,solitario,,
curated,luggage,noun,the bags and cases you take when you travel,i bagagli,,
curated,lunchtime,noun,the time in the middle of the day when people eat lunch,l'ora di pranzo,,
curated,mattress,noun,the soft part of a bed you lie on,il materasso,,
curated,midnight,noun,twelve o'clock at night,la mezzanotte,,
curated,murmur,verb,"to say something in a low, soft voice",mormorare,,
curated,napkin,noun,a small piece of cloth or paper for your mouth and hands at a meal,il tovagliolo,,
curated,natural,adjective,normal; as expected; not made by people,naturale,,
curated,navigate,verb,to find your way from one place to another,orientarsi,,
curated,necessary,adjective,needed; that you must have or do,necessario,,
curated,neither,determiner,not one and not the other of two,né l'uno né l'altro,,
curated,nerve,noun,the courage to do something difficult,il coraggio,,
curated,newsstand,noun,a small stall that sells newspapers,l'edicola,,
curated,nod,verb,to move your head down and up to mean yes,annuire,,
curated,oar,noun,a long pole with a flat end for rowing a boat,il remo,,
curated,obvious,adjective,easy to see or understand,ovvio,,
curated,ordinary,adjective,normal; not special,ordinario,,
curated,original,adjective,"first; the earliest, before any change",originale,,
curated,otherwise,adverb,if not; in a different way,altrimenti,,
curated,ought,verb,should; used to say the right thing to do (ought to),dovere (dovrebbe),,
curated,overhear,verb,to hear what others say without them knowing,sentire per caso,,
curated,pale,adjective,light in colour; (of a face) with little colour,pallido,,
curated,panel,noun,"a flat piece of wood, glass or metal",il pannello,,
curated,particular,adjective,"one special one, not any other",particolare,,
curated,patience,noun,the calm you keep while waiting or through trouble,la pazienza,,
curated,pause,verb,to stop for a short time before going on,fare una pausa,,
curated,pavement,noun,the hard path at the side of a road for people to walk on,il marciapiede,,
curated,photograph,noun,a picture made with a camera,la fotografia,,
curated,pity,noun,a sad feeling for someone else's trouble,la pietà,,
curated,pointed,adjective,said in a sharp way to make a clear point,pungente,,
curated,pour,verb,to make a liquid flow out of a container,versare,,
curated,precise,adjective,exact and clear,preciso,,
curated,pretend,verb,to act as if something is true when it is not,fingere,,
curated,proper,adjective,real and correct; of the right kind,adeguato,,
curated,proud,adjective,pleased with yourself; or too sure of your own worth,orgoglioso,,
curated,punctual,adjective,arriving exactly on time,puntuale,,
curated,quay,noun,a hard flat place next to water where boats stop; said like KEY,la banchina,,
curated,queue,noun,a line of people waiting for something,la fila,,
curated,radiator,noun,a metal heater on a wall that warms a room,il radiatore,,
curated,rather,adverb,quite; to a fairly large degree,piuttosto,,
curated,realise,verb,to suddenly understand something,rendersi conto,,
curated,reasonable,adjective,fair and sensible; not too much,ragionevole,,
curated,receipt,noun,a small paper that shows you paid for something; said like ri-SEET,la ricevuta,,
curated,reception,noun,the desk near the door of a building where visitors go first,la reception,,
curated,receptionist,noun,the person who works at the reception desk,il/la receptionist,,
curated,recognise,verb,to know someone or something because you have seen it before,riconoscere,,
curated,reference,noun,a number or word used to find something on a list,il riferimento,,
curated,refuse,verb,to say firmly that you will not do or accept something,rifiutare,,
curated,regardless,adverb,in spite of everything; without caring about it,nonostante tutto,,
curated,registration,noun,the act of putting your name on an official list,la registrazione,,
curated,regular,noun,a customer who comes to a place often,il cliente abituale,,
curated,rehearse,verb,to practise words or actions before doing them,provare,,
curated,reliable,adjective,that you can trust to work or be right,affidabile,,
curated,reserve,verb,to keep something for later or for a certain person,riservare,,
curated,restful,adjective,calm and peaceful; giving rest,riposante,,
curated,rucksack,noun,a bag you carry on your back,lo zaino,,
curated,scrap,noun,"a small piece of something, especially paper",il pezzetto,,
curated,scrape,verb,to rub against a surface with a rough sound,raschiare,,
curated,screen,noun,the flat part of a phone or computer that shows pictures and words,lo schermo,,
curated,sensible,adjective,showing good judgement; wise,sensato,,
curated,settle,verb,to sit or rest comfortably; to sort something out,sistemarsi,,
curated,shrug,verb,to raise your shoulders to show you don't know or care,alzare le spalle,,
curated,shutter,noun,a metal or wooden cover that closes over a window or shop,la saracinesca,,
curated,shuttered,adjective,closed with a metal or wooden cover,con la saracinesca abbassata,,
curated,sigh,verb,"to let out a long breath, often when tired or sad",sospirare,,
curated,signature,noun,your name written in your own way to sign something,la firma,,
curated,sinister,adjective,seeming evil or that something bad will happen,sinistro,,
curated,sleeve,noun,the part of clothing that covers your arm,la manica,,
curated,slide,verb,to move smoothly along a surface,scivolare,,
curated,somehow,adverb,in a way you do not know or cannot explain,in qualche modo,,
curated,stack,verb,to put things one on top of another,impilare,,
curated,stall,noun,a small open shop or table in a market,la bancarella,,
curated,standard,adjective,normal and usual; the ordinary kind,standard,,
curated,stark,adjective,"plain and clear, often in a harsh way",netto,,
curated,steady,adjective,firm and not shaking; regular,fermo,,
curated,steam,noun,the hot white gas that comes off boiling water,il vapore,,
curated,steel,noun,a strong hard metal made mostly of iron,l'acciaio,,
curated,strap,noun,a narrow band of leather or cloth for carrying or fastening,la cinghia,,
curated,streetlight,noun,a tall lamp that lights a street at night,il lampione,,
curated,suppose,verb,to think something is probably true,supporre,,
curated,survive,verb,to stay alive or keep existing through a hard time,sopravvivere,,
curated,suspect,verb,"to think something is probably true, without being sure",sospettare,,
curated,swindle,noun,a clever trick to take someone's money,la truffa,,
curated,switch,verb,to change from one thing to another; to turn on or off,cambiare / spegnere,,
curated,tape,verb,to stick something using sticky tape,attaccare col nastro,,
curated,thread,noun,a thin line of something; the line of an idea,il filo,,
curated,tiny,adjective,extremely small,minuscolo,,
curated,torn,adjective,pulled apart or damaged; ripped,strappato,,
curated,tray,noun,a flat object for carrying or holding things,il vassoio,,
curated,trot,verb,"to move at a quick, light run",trottare,,
curated,truth,noun,what is really true,la verità,,
curated,unfamiliar,adjective,not known to you,sconosciuto,,
curated,unkind,adjective,not kind; a little cruel,scortese,,
curated,update,verb,to add the newest information to something,aggiornare,,
curated,useless,adjective,of no use; not working,inutile,,
curated,van,noun,a covered vehicle for carrying goods,il furgone,,
curated,vanish,verb,to disappear suddenly and completely,svanire,,
curated,vast,adjective,extremely large in size or amount,vasto,,
curated,vehicle,noun,a machine such as a car or van that carries people or goods,il veicolo,,
curated,visible,adjective,that can be seen,visibile,,
curated,warmth,noun,the quality of being warm; gentle heat,il calore,,
curated,waste,verb,"to use time or money badly, for nothing",sprecare,,
curated,watchman,noun,"a person who guards a building, especially at night",il guardiano,,
curated,wave,verb,to move your hand to say hello or goodbye,salutare con la mano,,
curated,weed,noun,a wild plant growing where it is not wanted,l'erbaccia,,
curated,weep,verb,to cry,piangere,,
curated,whoever,pronoun,any person who; the person who,chiunque,,
curated,windscreen,noun,the big glass window at the front of a car,il parabrezza,,
curated,within,preposition,inside; before the end of a period,entro,,
curated,wrap,verb,to put something around another thing to cover it,avvolgere,,
coverage,able,,,capace,,
coverage,about,,,riguardo a,,
coverage,above,,,sopra,,
coverage,accident,,,l'incidente,,
coverage,across,,,attraverso,,
coverage,add,,,aggiungere,,
coverage,address,,,l'indirizzo,,
coverage,advice,,,il consiglio,,
coverage,against,,,contro,,
coverage,ago,,,fa,,
coverage,air,,,l'aria,,
coverage,almost,,,quasi,,
coverage,alone,,,solo,,
coverage,along,,,lungo,,
coverage,already,,,già,,
coverage,always,,,sempre,,
coverage,another,,,un altro,,
coverage,answer,,,rispondere,,
coverage,anyone,,,chiunque,,
coverage,anything,,,qualsiasi cosa,,
coverage,anywhere,,,dovunque,,
coverage,around,,,intorno,,
coverage,arrive,,,arrivare,,
coverage,ask,,,chiedere,,
coverage,away,,,via,,
coverage,back,,,indietro,,
coverage,bag,,,la borsa,,
coverage,bank,,,la banca/la riva,,
coverage,bar,,,il bar,,
coverage,bed,,,il letto,,
coverage,begin,,,cominciare,,
coverage,begun,,,cominciato,,
coverage,behind,,,dietro,,
coverage,believe,,,credere,,
coverage,belong,,,appartenere,,
coverage,below,,,sotto,,
coverage,beneath,,,sotto,,
coverage,beside,,,accanto a,,
coverage,best,,,il migliore,,
coverage,better,,,migliore,,
coverage,big,,,grande,,
coverage,black,,,nero,,
coverage,board,,,il tabellone,,
coverage,book,,,il libro,,
coverage,both,,,entrambi,,
coverage,bottom,,,il fondo,,
coverage,breakfast,,,la colazione,,
coverage,bridge,,,il ponte,,
coverage,bright,,,luminoso,,
coverage,brother,,,il fratello,,
coverage,brought,,,ha portato,,
coverage,building,,,l'edificio,,
coverage,burn,,,bruciare,,
coverage,bus,,,l'autobus,,
coverage,business,,,l'affare,,
coverage,cab,,,il taxi,,
coverage,cafe,,,il caffè,,
coverage,call,,,chiamare,,
coverage,calm,,,calmo,,
coverage,came,,,è venuto,,
coverage,cannot,,,non può,,
coverage,cap,,,il berretto,,
coverage,car,,,l'auto,,
coverage,card,,,la carta,,
coverage,care,,,la cura,,
coverage,careful,,,attento,,
coverage,carry,,,portare,,
coverage,case,,,il caso,,
coverage,catch,,,prendere,,
coverage,certain,,,certo,,
coverage,chair,,,la sedia,,
coverage,chance,,,la possibilità,,
coverage,change,,,cambiare,,
coverage,circle,,,il cerchio,,
coverage,city,,,la città,,
coverage,clean,,,pulito,,
coverage,clear,,,chiaro,,
coverage,climb,,,salire,,
coverage,clock,,,l'orologio,,
coverage,close,,,chiudere,,
coverage,cloth,,,la stoffa,,
coverage,coat,,,il cappotto,,
coverage,coffee,,,il caffè,,
coverage,cold,,,freddo,,
coverage,collar,,,il colletto,,
coverage,colour,,,il colore,,
coverage,come,,,venire,,
coverage,comfortable,,,comodo,,
coverage,company,,,l'azienda,,
coverage,complete,,,completo,,
coverage,corner,,,l'angolo,,
coverage,cost,,,costare,,
coverage,count,,,contare,,
coverage,counter,,,il bancone,,
coverage,country,,,il paese,,
coverage,course,,,il corso,,
coverage,cross,,,attraversare,,
coverage,cup,,,la tazza,,
coverage,dad,,,il papà,,
coverage,dark,,,buio,,
coverage,date,,,la data,,
coverage,dawn,,,l'alba,,
coverage,day,,,il giorno,,
coverage,dead,,,morto,,
coverage,deal,,,l'accordo,,
coverage,decide,,,decidere,,
coverage,degree,,,il grado,,
coverage,delivery,,,la consegna,,
coverage,desk,,,la scrivania,,
coverage,direction,,,la direzione,,
coverage,door,,,la porta,,
coverage,draw,,,disegnare,,
coverage,dress,,,il vestito,,
coverage,drive,,,guidare,,
coverage,driver,,,l'autista,,
coverage,dying,,,morente,,
coverage,early,,,presto,,
coverage,easy,,,facile,,
coverage,edge,,,il bordo,,
coverage,eight,,,otto,,
coverage,either,,,l'uno o l'altro,,
coverage,eleven,,,undici,,
coverage,else,,,altro,,
coverage,empty,,,vuoto,,
coverage,end,,,la fine,,
coverage,engine,,,il motore,,
coverage,enough,,,abbastanza,,
coverage,even,,,perfino,,
coverage,everybody,,,tutti,,
coverage,everyone,,,tutti,,
coverage,everything,,,tutto,,
coverage,everywhere,,,dovunque,,
coverage,exactly,,,esattamente,,
coverage,except,,,tranne,,
coverage,exit,,,l'uscita,,
coverage,expect,,,aspettarsi,,
coverage,explain,,,spiegare,,
coverage,extra,,,extra,,
coverage,eye,,,l'occhio,,
coverage,face,,,il viso,,
coverage,fact,,,il fatto,,
coverage,far,,,lontano,,
coverage,fast,,,veloce,,
coverage,father,,,il padre,,
coverage,feel,,,sentire,,
coverage,figure,,,la figura,,
coverage,final,,,finale,,
coverage,find,,,trovare,,
coverage,finger,,,il dito,,
coverage,finish,,,finire,,
coverage,first,,,primo,,
coverage,five,,,cinque,,
coverage,fix,,,riparare,,
coverage,flat,,,l'appartamento/piatto,,
coverage,floor,,,il pavimento/piano,,
coverage,follow,,,seguire,,
coverage,foot,,,il piede,,
coverage,force,,,la forza/forzare,,
coverage,forgotten,,,dimenticato,,
coverage,form,,,il modulo,,
coverage,found,,,ha trovato,,
coverage,four,,,quattro,,
coverage,fourth,,,quarto,,
coverage,free,,,libero/gratis,,
coverage,front,,,il davanti,,
coverage,full,,,pieno,,
coverage,gap,,,lo spazio,,
coverage,gate,,,il cancello,,
coverage,gather,,,radunare,,
coverage,get,,,ottenere,,
coverage,girl,,,la ragazza,,
coverage,give,,,dare,,
coverage,glass,,,il vetro,,
coverage,go,,,andare,,
coverage,gone,,,andato,,
coverage,good,,,buono,,
coverage,got,,,ha ottenuto,,
coverage,great,,,grande,,
coverage,green,,,verde,,
coverage,grey,,,grigio,,
coverage,grow,,,crescere,,
coverage,guard,,,la guardia,,
coverage,guess,,,indovinare,,
coverage,half,,,la metà,,
coverage,hall,,,l'atrio,,
coverage,hand,,,la mano,,
coverage,happen,,,succedere,,
coverage,hard,,,duro,,
coverage,hate,,,odiare,,
coverage,head,,,la testa,,
coverage,hear,,,sentire,,
coverage,heard,,,ha sentito,,
coverage,heart,,,il cuore,,
coverage,heater,,,il riscaldamento,,
coverage,help,,,aiutare,,
coverage,hidden,,,nascosto,,
coverage,high,,,alto,,
coverage,hire,,,assumere,,
coverage,hold,,,tenere,,
coverage,home,,,casa,,
coverage,honest,,,onesto,,
coverage,hope,,,sperare,,
coverage,hot,,,caldo,,
coverage,hotel,,,l'hotel,,
coverage,hour,,,l'ora,,
coverage,hundred,,,cento,,
coverage,hurry,,,affrettarsi,,
coverage,hurt,,,far male,,
coverage,hut,,,la capanna,,
coverage,idea,,,l'idea,,
coverage,inside,,,dentro,,
coverage,job,,,il lavoro,,
coverage,joke,,,lo scherzo,,
coverage,keep,,,tenere,,
coverage,key,,,la chiave,,
coverage,kind,,,gentile,,
coverage,kitchen,,,la cucina,,
coverage,know,,,sapere,,
coverage,known,,,conosciuto,,
coverage,lamp,,,la lampada,,
coverage,large,,,grande,,
coverage,last,,,ultimo,,
coverage,late,,,tardi,,
coverage,laugh,,,ridere,,
coverage,learnt,,,ha imparato,,
coverage,least,,,il meno,,
coverage,leave,,,partire,,
coverage,left,,,sinistra,,
coverage,length,,,la lunghezza,,
coverage,less,,,meno,,
coverage,let,,,lasciare,,
coverage,letter,,,la lettera,,
coverage,lie,,,mentire/sdraiarsi,,
coverage,life,,,la vita,,
coverage,light,,,la luce,,
coverage,like,,,piacere/come,,
coverage,line,,,la linea,,
coverage,list,,,la lista,,
coverage,listen,,,ascoltare,,
coverage,little,,,poco,,
coverage,load,,,caricare,,
coverage,lock,,,chiudere a chiave,,
coverage,long,,,lungo,,
coverage,look,,,guardare,,
coverage,lose,,,perdere,,
coverage,lost,,,perso,,
coverage,lot,,,molto,,
coverage,loud,,,forte,,
coverage,love,,,amare,,
coverage,low,,,basso,,
coverage,luck,,,la fortuna,,
coverage,machine,,,la macchina,,
coverage,man,,,l'uomo,,
coverage,manage,,,riuscire/gestire,,
coverage,map,,,la mappa,,
coverage,mark,,,il segno,,
coverage,market,,,il mercato,,
coverage,matter,,,importare,,
coverage,maybe,,,forse,,
coverage,mean,,,significare,,
coverage,meant,,,significava,,
coverage,meet,,,incontrare,,
coverage,met,,,ha incontrato,,
coverage,metal,,,il metallo,,
coverage,mind,,,la mente,,
coverage,minute,,,il minuto,,
coverage,mirror,,,lo specchio,,
coverage,miss,,,perdere,,
coverage,mistake,,,l'errore,,
coverage,mobile,,,il cellulare,,
coverage,moment,,,il momento,,
coverage,money,,,il denaro,,
coverage,month,,,il mese,,
coverage,morning,,,la mattina,,
coverage,mother,,,la madre,,
coverage,move,,,muovere,,
coverage,name,,,il nome,,
coverage,narrow,,,stretto,,
coverage,near,,,vicino a,,
coverage,neck,,,il collo,,
coverage,need,,,avere bisogno,,
coverage,never,,,mai,,
coverage,new,,,nuovo,,
coverage,next,,,prossimo,,
coverage,night,,,la notte,,
coverage,nine,,,nove,,
coverage,nobody,,,nessuno,,
coverage,normal,,,normale,,
coverage,note,,,la nota,,
coverage,nothing,,,niente,,
coverage,notice,,,notare,,
coverage,now,,,adesso,,
coverage,nowhere,,,da nessuna parte,,
coverage,number,,,il numero,,
coverage,odd,,,strano,,
coverage,off,,,spento/via,,
coverage,office,,,l'ufficio,,
coverage,old,,,vecchio,,
coverage,onto,,,su,,
coverage,open,,,aprire,,
coverage,other,,,altro,,
coverage,outside,,,fuori,,
coverage,own,,,proprio,,
coverage,page,,,la pagina,,
coverage,paid,,,ha pagato,,
coverage,paint,,,la vernice,,
coverage,pair,,,la coppia,,
coverage,paper,,,la carta,,
coverage,park,,,il parco,,
coverage,part,,,la parte,,
coverage,pass,,,passare,,
coverage,past,,,passato,,
coverage,pay,,,pagare,,
coverage,people,,,la gente,,
coverage,perfect,,,perfetto,,
coverage,perhaps,,,forse,,
coverage,person,,,la persona,,
coverage,phone,,,il telefono,,
coverage,photo,,,la foto,,
coverage,piece,,,il pezzo,,
coverage,place,,,il posto,,
coverage,plain,,,semplice,,
coverage,plant,,,la pianta,,
coverage,platform,,,il binario,,
coverage,please,,,per favore,,
coverage,pocket,,,la tasca,,
coverage,point,,,il punto,,
coverage,post,,,la posta,,
coverage,print,,,stampare,,
coverage,probably,,,probabilmente,,
coverage,problem,,,il problema,,
coverage,proof,,,la prova,,
coverage,prove,,,provare,,
coverage,pull,,,tirare,,
coverage,push,,,spingere,,
coverage,put,,,mettere,,
coverage,quarter,,,il quarto,,
coverage,question,,,la domanda,,
coverage,quiet,,,tranquillo,,
coverage,quietly,,,silenziosamente,,
coverage,quite,,,piuttosto,,
coverage,radio,,,la radio,,
coverage,reach,,,raggiungere,,
coverage,read,,,leggere,,
coverage,ready,,,pronto,,
coverage,real,,,reale,,
coverage,reason,,,la ragione,,
coverage,register,,,registrarsi,,
coverage,rest,,,il riposo/il resto,,
coverage,return,,,tornare,,
coverage,right,,,destra/giusto,,
coverage,ring,,,suonare,,
coverage,river,,,il fiume,,
coverage,road,,,la strada,,
coverage,room,,,la stanza,,
coverage,round,,,rotondo/intorno,,
coverage,rower,,,il rematore,,
coverage,rub,,,strofinare,,
coverage,run,,,correre,,
coverage,said,,,detto,,
coverage,same,,,stesso,,
coverage,sat,,,si è seduto,,
coverage,save,,,salvare/risparmiare,,
coverage,saw,,,ha visto,,
coverage,say,,,dire,,
coverage,second,,,secondo,,
coverage,see,,,vedere,,
coverage,seem,,,sembrare,,
coverage,sell,,,vendere,,
coverage,send,,,inviare,,
coverage,sense,,,il senso,,
coverage,sent,,,ha inviato,,
coverage,set,,,posare,,
coverage,seven,,,sette,,
coverage,shake,,,scuotere,,
coverage,shape,,,la forma,,
coverage,share,,,condividere,,
coverage,sheet,,,il foglio,,
coverage,shop,,,il negozio,,
coverage,short,,,corto,,
coverage,shot,,,la dose,,
coverage,shoulder,,,la spalla,,
coverage,show,,,mostrare,,
coverage,shut,,,chiudere,,
coverage,side,,,il lato,,
coverage,sign,,,l'insegna,,
coverage,silence,,,il silenzio,,
coverage,simple,,,semplice,,
coverage,since,,,da,,
coverage,single,,,singolo,,
coverage,sister,,,la sorella,,
coverage,sit,,,sedersi,,
coverage,six,,,sei,,
coverage,sixty,,,sessanta,,
coverage,sky,,,il cielo,,
coverage,sleep,,,dormire,,
coverage,slow,,,lento,,
coverage,small,,,piccolo,,
coverage,smart,,,elegante,,
coverage,smell,,,l'odore,,
coverage,smile,,,sorridere,,
coverage,smooth,,,liscio,,
coverage,soften,,,ammorbidire,,
coverage,somebody,,,qualcuno,,
coverage,someone,,,qualcuno,,
coverage,something,,,qualcosa,,
coverage,somewhere,,,da qualche parte,,
coverage,sorry,,,scusa,,
coverage,sort,,,il tipo,,
coverage,sound,,,il suono,,
coverage,spare,,,di scorta,,
coverage,speak,,,parlare,,
coverage,spent,,,ha passato/speso,,
coverage,spring,,,la primavera,,
coverage,square,,,la piazza,,
coverage,stairs,,,le scale,,
coverage,stamp,,,il francobollo,,
coverage,stand,,,stare in piedi,,
coverage,start,,,cominciare,,
coverage,station,,,la stazione,,
coverage,stay,,,restare,,
coverage,step,,,il passo/gradino,,
coverage,still,,,ancora,,
coverage,stone,,,la pietra,,
coverage,stop,,,fermare,,
coverage,story,,,la storia,,
coverage,straight,,,dritto,,
coverage,strange,,,strano,,
coverage,stranger,,,lo sconosciuto,,
coverage,street,,,la strada,,
coverage,strong,,,forte,,
coverage,suit,,,l'abito,,
coverage,sure,,,sicuro,,
coverage,surprise,,,la sorpresa,,
coverage,swing,,,dondolare,,
coverage,table,,,il tavolo,,
coverage,take,,,prendere,,
coverage,talk,,,parlare,,
coverage,taxi,,,il taxi,,
coverage,tea,,,il tè,,
coverage,telephone,,,il telefono,,
coverage,tell,,,dire,,
coverage,ten,,,dieci,,
coverage,thank,,,ringraziare,,
coverage,thick,,,spesso,,
coverage,thin,,,sottile,,
coverage,thing,,,la cosa,,
coverage,think,,,pensare,,
coverage,third,,,terzo,,
coverage,three,,,tre,,
coverage,through,,,attraverso,,
coverage,throw,,,lanciare,,
