tier,headword,part_of_speech,english_definition,draft_zh,corrected_translation,reviewer_notes
curated,enormous,adjective,very big,巨大的,,
curated,entire,adjective,whole; with no part missing,整个的,,
curated,entrance,noun,the door or opening where you go into a place,入口,,
curated,envelope,noun,the paper cover for a letter,信封,,
curated,eventual,adjective,"happening in the end, after some time",最终的,,
curated,evidence,noun,facts or things that show something is true,证据,,
curated,exhausted,adjective,very tired,筋疲力尽的,,
curated,expense,noun,the money that something costs you,费用,,
curated,faded,adjective,with the colour or print gone pale,褪色的,,
curated,faint,adjective,weak; not clear or strong,微弱的,,
curated,fair,adjective,treating people equally and in the right way,公平的,,
curated,feet,noun,more than one foot (the parts you stand on),脚,,
curated,fence,noun,a wall of wood or wire around a piece of land,栅栏,,
curated,flask,noun,a container that keeps a drink hot or cold,保温瓶,,
curated,fold,verb,to bend something so one part lies over another,折叠,,
curated,folder,noun,a cover for holding papers together,文件夹,,
curated,forever,adverb,for all time; without ending,永远,,
curated,fortnight,noun,two weeks,两周,,
curated,fox,noun,"a wild animal like a small dog, with red-brown fur",狐狸,,
curated,freeze,verb,to become very cold; to stop still suddenly,冻僵,,
curated,frown,verb,to move your eyebrows down because you are annoyed or thinking,皱眉,,
curated,furniture,noun,"the tables, chairs and beds in a room",家具,,
curated,further,adverb,at or to a greater distance; more,更远,,
curated,genuine,adjective,real; not false,真正的,,
curated,glad,adjective,pleased and happy about something,高兴的,,
curated,glance,verb,to look at something quickly,瞥一眼,,
curated,glow,noun,"a soft, steady light",微光,,
curated,gown,noun,a long loose piece of clothing (here: a dressing gown worn at home),长袍,,
curated,gull,noun,a grey and white sea bird,海鸥,,
curated,gutter,noun,the low edge of a road where rain water runs away,路边水沟,,
curated,halfway,adverb,at or to the middle point,半路,,
curated,handle,noun,the part of a door or bag you hold to open or carry it,把手,,
curated,haul,verb,to pull or carry something heavy with effort,拖,,
curated,heavy,adjective,weighing a lot; hard to lift,重的,,
curated,hoarding,noun,a temporary wooden fence around a building site,工地围栏,,
curated,hollow,adjective,empty inside; without real feeling or value,空洞的,,
curated,hum,verb,"to sing with your lips closed; to make a low, steady sound",哼,,
curated,identical,adjective,exactly the same,完全相同的,,
curated,idle,verb,(of an engine) to run gently while the vehicle waits,怠速运转,,
curated,immediate,adjective,"happening at once, with no delay",立即的,,
curated,improve,verb,to become or make better,改善,,
curated,information,noun,facts you are told or that help you know something,信息,,
curated,inner,adjective,on the inside; further in,里面的,,
curated,intact,adjective,not damaged; complete,完好无损的,,
curated,interrupt,verb,to stop someone by speaking or acting in the middle,打断,,
curated,interview,noun,a meeting where a company asks you questions about a job,面试,,
curated,invitation,noun,a spoken or written offer to come somewhere,邀请,,
curated,kerb,noun,the raised edge between a pavement and a road,路缘,,
curated,kettle,noun,a container for boiling water,水壶,,
curated,kiosk,noun,"a very small shop on a street that sells newspapers, drinks and small things",报刊亭,,
curated,label,noun,"a small piece of paper or plastic on a thing, with writing on it",标签,,
curated,launderette,noun,a shop with machines where you pay to wash clothes,自助洗衣店,,
curated,layout,noun,the way the parts of something are arranged,布局,,
curated,lean,verb,"to rest against something, or to bend your body",倚靠 / 倾身,,
curated,letterhead,noun,the printed name and address at the top of a firm's paper,信头,,
curated,lobby,noun,the open area just inside the entrance of a building,大堂,,
curated,lone,adjective,single; on its own,孤单的,,
curated,luggage,noun,the bags and cases you take when you travel,行李,,
curated,lunchtime,noun,the time in the middle of the day when people eat lunch,午餐时间,,
curated,mattress,noun,the soft part of a bed you lie on,床垫,,
curated,midnight,noun,twelve o'clock at night,午夜,,
curated,murmur,verb,"to say something in a low, soft voice",低声说,,
curated,napkin,noun,a small piece of cloth or paper for your mouth and hands at a meal,餐巾,,
curated,natural,adjective,normal; as expected; not made by people,自然的,,
curated,navigate,verb,to find your way from one place to another,导航,,
curated,necessary,adjective,needed; that you must have or do,必要的,,
curated,neither,determiner,not one and not the other of two,两者都不,,
curated,nerve,noun,the courage to do something difficult,勇气,,
curated,newsstand,noun,a small stall that sells newspapers,报摊,,
curated,nod,verb,to move your head down and up to mean yes,点头,,
curated,oar,noun,a long pole with a flat end for rowing a boat,桨,,
curated,obvious,adjective,easy to see or understand,显而易见的,,
curated,ordinary,adjective,normal; not special,普通的,,
curated,original,adjective,"first; the earliest, before any change",原来的,,
curated,otherwise,adverb,if not; in a different way,否则,,
curated,ought,verb,should; used to say the right thing to do (ought to),应该,,
curated,overhear,verb,to hear what others say without them knowing,无意中听到,,
curated,pale,adjective,light in colour; (of a face) with little colour,苍白的,,
curated,panel,noun,"a flat piece of wood, glass or metal",嵌板,,
curated,particular,adjective,"one special one, not any other",特定的,,
curated,patience,noun,the calm you keep while waiting or through trouble,耐心,,
curated,pause,verb,to stop for a short time before going on,停顿,,
curated,pavement,noun,the hard path at the side of a road for people to walk on,人行道,,
curated,photograph,noun,a picture made with a camera,照片,,
curated,pity,noun,a sad feeling for someone else's trouble,怜悯,,
curated,pointed,adjective,said in a sharp way to make a clear point,尖锐的,,
curated,pour,verb,to make a liquid flow out of a container,倒,,
curated,precise,adjective,exact and clear,精确的,,
curated,pretend,verb,to act as if something is true when it is not,假装,,
curated,proper,adjective,real and correct; of the right kind,真正的,,
curated,proud,adjective,pleased with yourself; or too sure of your own worth,自豪的,,
curated,punctual,adjective,arriving exactly on time,准时的,,
curated,quay,noun,a hard flat place next to water where boats stop; said like KEY,码头,,
curated,queue,noun,a line of people waiting for something,队伍,,
curated,radiator,noun,a metal heater on a wall that warms a room,暖气片,,
curated,rather,adverb,quite; to a fairly large degree,相当,,
curated,realise,verb,to suddenly understand something,意识到,,
curated,reasonable,adjective,fair and sensible; not too much,合理的,,
curated,receipt,noun,a small paper that shows you paid for something; said like ri-SEET,收据,,
curated,reception,noun,the desk near the door of a building where visitors go first,前台,,
curated,receptionist,noun,the person who works at the reception desk,前台接待员,,
curated,recognise,verb,to know someone or something because you have seen it before,认出,,
curated,reference,noun,a number or word used to find something on a list,编号,,
curated,refuse,verb,to say firmly that you will not do or accept something,拒绝,,
curated,regardless,adverb,in spite of everything; without caring about it,不管怎样,,
curated,registration,noun,the act of putting your name on an official list,登记,,
curated,regular,noun,a customer who comes to a place often,常客,,
curated,rehearse,verb,to practise words or actions before doing them,排练,,
curated,reliable,adjective,that you can trust to work or be right,可靠的,,
curated,reserve,verb,to keep something for later or for a certain person,预留,,
curated,restful,adjective,calm and peaceful; giving rest,宁静的,,
curated,rucksack,noun,a bag you carry on your back,背包,,
curated,scrap,noun,"a small piece of something, especially paper",碎片,,
curated,scrape,verb,to rub against a surface with a rough sound,刮,,
curated,screen,noun,the flat part of a phone or computer that shows pictures and words,屏幕,,
curated,sensible,adjective,showing good judgement; wise,明智的,,
curated,settle,verb,to sit or rest comfortably; to sort something out,安顿,,
curated,shrug,verb,to raise your shoulders to show you don't know or care,耸肩,,
curated,shutter,noun,a metal or wooden cover that closes over a window or shop,卷帘,,
curated,shuttered,adjective,closed with a metal or wooden cover,关着卷帘的,,
curated,sigh,verb,"to let out a long breath, often when tired or sad",叹气,,
curated,signature,noun,your name written in your own way to sign something,签名,,
curated,sinister,adjective,seeming evil or that something bad will happen,阴森的,,
curated,sleeve,noun,the part of clothing that covers your arm,袖子,,
curated,slide,verb,to move smoothly along a surface,滑动,,
curated,somehow,adverb,in a way you do not know or cannot explain,不知怎么地,,
curated,stack,verb,to put things one on top of another,堆叠,,
curated,stall,noun,a small open shop or table in a market,摊位,,
curated,standard,adjective,normal and usual; the ordinary kind,标准的,,
curated,stark,adjective,"plain and clear, often in a harsh way",鲜明的,,
curated,steady,adjective,firm and not shaking; regular,稳定的,,
curated,steam,noun,the hot white gas that comes off boiling water,蒸汽,,
curated,steel,noun,a strong hard metal made mostly of iron,钢,,
curated,strap,noun,a narrow band of leather or cloth for carrying or fastening,带子,,
curated,streetlight,noun,a tall lamp that lights a street at night,路灯,,
curated,suppose,verb,to think something is probably true,假定,,
curated,survive,verb,to stay alive or keep existing through a hard time,幸存,,
curated,suspect,verb,"to think something is probably true, without being sure",怀疑,,
curated,swindle,noun,a clever trick to take someone's money,骗局,,
curated,switch,verb,to change from one thing to another; to turn on or off,切换 / 开关,,
curated,tape,verb,to stick something using sticky tape,用胶带贴,,
curated,thread,noun,a thin line of something; the line of an idea,线索,,
curated,tiny,adjective,extremely small,微小的,,
curated,torn,adjective,pulled apart or damaged; ripped,撕破的,,
curated,tray,noun,a flat object for carrying or holding things,托盘,,
curated,trot,verb,"to move at a quick, light run",小跑,,
curated,truth,noun,what is really true,真相,,
curated,unfamiliar,adjective,not known to you,陌生的,,
curated,unkind,adjective,not kind; a little cruel,不友善的,,
curated,update,verb,to add the newest information to something,更新,,
curated,useless,adjective,of no use; not working,没用的,,
curated,van,noun,a covered vehicle for carrying goods,厢式货车,,
curated,vanish,verb,to disappear suddenly and completely,消失,,
curated,vast,adjective,extremely large in size or amount,广大的,,
curated,vehicle,noun,a machine such as a car or van that carries people or goods,车辆,,
curated,visible,adjective,that can be seen,可见的,,
curated,warmth,noun,the quality of being warm; gentle heat,温暖,,
curated,waste,verb,"to use time or money badly, for nothing",浪费,,
curated,watchman,noun,"a person who guards a building, especially at night",看守人,,
curated,wave,verb,to move your hand to say hello or goodbye,挥手,,
curated,weed,noun,a wild plant growing where it is not wanted,杂草,,
curated,weep,verb,to cry,哭泣,,
curated,whoever,pronoun,any person who; the person who,无论谁,,
curated,windscreen,noun,the big glass window at the front of a car,挡风玻璃,,
curated,within,preposition,inside; before the end of a period,在…之内,,
curated,wrap,verb,to put something around another thing to cover it,包裹,,
coverage,able,,,能够的,,
coverage,about,,,关于,,
coverage,above,,,上面,,
coverage,accident,,,事故,,
coverage,across,,,穿过,,
coverage,add,,,添加,,
coverage,address,,,地址,,
coverage,advice,,,建议,,
coverage,against,,,靠着,,
coverage,ago,,,以前,,
coverage,air,,,空气,,
coverage,almost,,,几乎,,
coverage,alone,,,独自,,
coverage,along,,,沿着,,
coverage,already,,,已经,,
coverage,always,,,总是,,
coverage,another,,,另一个,,
coverage,answer,,,回答,,
coverage,anyone,,,任何人,,
coverage,anything,,,任何东西,,
coverage,anywhere,,,任何地方,,
coverage,around,,,周围,,
coverage,arrive,,,到达,,
coverage,ask,,,问,,
coverage,away,,,离开,,
coverage,back,,,回,,
coverage,bag,,,包,,
coverage,bank,,,银行/岸,,
coverage,bar,,,酒吧,,
coverage,bed,,,床,,
coverage,begin,,,开始,,
coverage,begun,,,开始了,,
coverage,behind,,,后面,,
coverage,believe,,,相信,,
coverage,belong,,,属于,,
coverage,below,,,下面,,
coverage,beneath,,,下面,,
coverage,beside,,,旁边,,
coverage,best,,,最好的,,
coverage,better,,,更好,,
coverage,big,,,大的,,
coverage,black,,,黑色的,,
coverage,board,,,板,,
coverage,book,,,书,,
coverage,both,,,两者,,
coverage,bottom,,,底部,,
coverage,breakfast,,,早餐,,
coverage,bridge,,,桥,,
coverage,bright,,,明亮的,,
coverage,brother,,,兄弟,,
coverage,brought,,,带来了,,
coverage,building,,,建筑,,
coverage,burn,,,燃烧,,
coverage,bus,,,公交车,,
coverage,business,,,事务,,
coverage,cab,,,出租车,,
coverage,cafe,,,咖啡馆,,
coverage,call,,,打电话,,
coverage,calm,,,平静的,,
coverage,came,,,来了,,
coverage,cannot,,,不能,,
coverage,cap,,,帽子,,
coverage,car,,,汽车,,
coverage,card,,,卡片,,
coverage,care,,,关心,,
coverage,careful,,,小心的,,
coverage,carry,,,携带,,
coverage,case,,,情况,,
coverage,catch,,,抓住,,
coverage,certain,,,确定的,,
coverage,chair,,,椅子,,
coverage,chance,,,机会,,
coverage,change,,,改变,,
coverage,circle,,,圆圈,,
coverage,city,,,城市,,
coverage,clean,,,干净的,,
coverage,clear,,,清楚的,,
coverage,climb,,,爬,,
coverage,clock,,,钟,,
coverage,close,,,关闭,,
coverage,cloth,,,布,,
coverage,coat,,,外套,,
coverage,coffee,,,咖啡,,
coverage,cold,,,冷,,
coverage,collar,,,衣领,,
coverage,colour,,,颜色,,
coverage,come,,,来,,
coverage,comfortable,,,舒适的,,
coverage,company,,,公司,,
coverage,complete,,,完整的,,
coverage,corner,,,角落,,
coverage,cost,,,花费,,
coverage,count,,,数,,
coverage,counter,,,柜台,,
coverage,country,,,国家,,
coverage,course,,,课程,,
coverage,cross,,,穿过,,
coverage,cup,,,杯子,,
coverage,dad,,,爸爸,,
coverage,dark,,,黑暗的,,
coverage,date,,,日期,,
coverage,dawn,,,黎明,,
coverage,day,,,天,,
coverage,dead,,,死的,,
coverage,deal,,,交易,,
coverage,decide,,,决定,,
coverage,degree,,,度,,
coverage,delivery,,,送货,,
coverage,desk,,,书桌,,
coverage,direction,,,方向,,
coverage,door,,,门,,
coverage,draw,,,画,,
coverage,dress,,,连衣裙,,
coverage,drive,,,开车,,
coverage,driver,,,司机,,
coverage,dying,,,垂死的,,
coverage,early,,,早,,
coverage,easy,,,容易的,,
coverage,edge,,,边缘,,
coverage,eight,,,八,,
coverage,either,,,任一,,
coverage,eleven,,,十一,,
coverage,else,,,别的,,
coverage,empty,,,空的,,
coverage,end,,,结束,,
coverage,engine,,,发动机,,
coverage,enough,,,足够,,
coverage,even,,,甚至,,
coverage,everybody,,,每个人,,
coverage,everyone,,,每个人,,
coverage,everything,,,一切,,
coverage,everywhere,,,到处,,
coverage,exactly,,,确切地,,
coverage,except,,,除了,,
coverage,exit,,,出口,,
coverage,expect,,,期待,,
coverage,explain,,,解释,,
coverage,extra,,,额外的,,
coverage,eye,,,眼睛,,
coverage,face,,,脸,,
coverage,fact,,,事实,,
coverage,far,,,远,,
coverage,fast,,,快的,,
coverage,father,,,父亲,,
coverage,feel,,,感觉,,
coverage,figure,,,身影,,
coverage,final,,,最后的,,
coverage,find,,,找到,,
coverage,finger,,,手指,,
coverage,finish,,,完成,,
coverage,first,,,第一,,
coverage,five,,,五,,
coverage,fix,,,修理,,
coverage,flat,,,公寓/平的,,
coverage,floor,,,地板/楼层,,
coverage,follow,,,跟随,,
coverage,foot,,,脚,,
coverage,force,,,力量/强迫,,
coverage,forgotten,,,忘记的,,
coverage,form,,,表格,,
coverage,found,,,找到了,,
coverage,four,,,四,,
coverage,fourth,,,第四,,
coverage,free,,,自由的/免费的,,
coverage,front,,,前面,,
coverage,full,,,满的,,
coverage,gap,,,缝隙,,
coverage,gate,,,大门,,
coverage,gather,,,聚集,,
coverage,get,,,得到,,
coverage,girl,,,女孩,,
coverage,give,,,给,,
coverage,glass,,,玻璃,,
coverage,go,,,去,,
coverage,gone,,,走了,,
coverage,good,,,好,,
coverage,got,,,得到了,,
coverage,great,,,很棒的,,
coverage,green,,,绿色的,,
coverage,grey,,,灰色的,,
coverage,grow,,,生长,,
coverage,guard,,,警卫,,
coverage,guess,,,猜,,
coverage,half,,,一半,,
coverage,hall,,,大厅,,
coverage,hand,,,手,,
coverage,happen,,,发生,,
coverage,hard,,,难的,,
coverage,hate,,,讨厌,,
coverage,head,,,头,,
coverage,hear,,,听见,,
coverage,heard,,,听到了,,
coverage,heart,,,心,,
coverage,heater,,,暖气,,
coverage,help,,,帮助,,
coverage,hidden,,,隐藏的,,
coverage,high,,,高的,,
coverage,hire,,,雇用,,
coverage,hold,,,握住,,
coverage,home,,,家,,
coverage,honest,,,诚实的,,
coverage,hope,,,希望,,
coverage,hot,,,热的,,
coverage,hotel,,,酒店,,
coverage,hour,,,小时,,
coverage,hundred,,,一百,,
coverage,hurry,,,匆忙,,
coverage,hurt,,,疼,,
coverage,hut,,,小屋,,
coverage,idea,,,主意,,
coverage,inside,,,里面,,
coverage,job,,,工作,,
coverage,joke,,,玩笑,,
coverage,keep,,,保持,,
coverage,key,,,钥匙,,
coverage,kind,,,善良的,,
coverage,kitchen,,,厨房,,
coverage,know,,,知道,,
coverage,known,,,已知的,,
coverage,lamp,,,灯,,
coverage,large,,,大的,,
coverage,last,,,最后的,,
coverage,late,,,晚,,
coverage,laugh,,,笑,,
coverage,learnt,,,学到了,,
coverage,least,,,最少,,
coverage,leave,,,离开,,
coverage,left,,,左,,
coverage,length,,,长度,,
coverage,less,,,更少,,
coverage,let,,,让,,
coverage,letter,,,信,,
coverage,lie,,,撒谎/躺,,
coverage,life,,,生活,,
coverage,light,,,光,,
coverage,like,,,像/喜欢,,
coverage,line,,,线,,
coverage,list,,,清单,,
coverage,listen,,,听,,
coverage,little,,,少,,
coverage,load,,,加载,,
coverage,lock,,,锁,,
coverage,long,,,长的,,
coverage,look,,,看,,
coverage,lose,,,丢失,,
coverage,lost,,,迷路的,,
coverage,lot,,,很多,,
coverage,loud,,,大声的,,
coverage,love,,,爱,,
coverage,low,,,低的,,
coverage,luck,,,运气,,
coverage,machine,,,机器,,
coverage,man,,,男人,,
coverage,manage,,,设法,,
coverage,map,,,地图,,
coverage,mark,,,标记,,
coverage,market,,,市场,,
coverage,matter,,,要紧,,
coverage,maybe,,,也许,,
coverage,mean,,,意思是,,
coverage,meant,,,意思是,,
coverage,meet,,,见面,,
coverage,met,,,遇见了,,
coverage,metal,,,金属,,
coverage,mind,,,头脑,,
coverage,minute,,,分钟,,
coverage,mirror,,,镜子,,
coverage,miss,,,错过,,
coverage,mistake,,,错误,,
coverage,mobile,,,手机,,
coverage,moment,,,时刻,,
coverage,money,,,钱,,
coverage,month,,,月,,
coverage,morning,,,早晨,,
coverage,mother,,,母亲,,
coverage,move,,,移动,,
coverage,name,,,名字,,
coverage,narrow,,,窄的,,
coverage,near,,,靠近,,
coverage,neck,,,脖子,,
coverage,need,,,需要,,
coverage,never,,,从不,,
coverage,new,,,新的,,
coverage,next,,,下一个,,
coverage,night,,,夜晚,,
coverage,nine,,,九,,
coverage,nobody,,,没有人,,
coverage,normal,,,正常的,,
coverage,note,,,便条,,
coverage,nothing,,,没什么,,
coverage,notice,,,注意,,
coverage,now,,,现在,,
coverage,nowhere,,,无处,,
coverage,number,,,号码,,
coverage,odd,,,奇怪的,,
coverage,off,,,关/离,,
coverage,office,,,办公室,,
coverage,old,,,旧的,,
coverage,onto,,,到…上,,
coverage,open,,,打开,,
coverage,other,,,其他,,
coverage,outside,,,外面,,
coverage,own,,,自己的,,
coverage,page,,,页,,
coverage,paid,,,付了,,
coverage,paint,,,油漆,,
coverage,pair,,,一对,,
coverage,paper,,,纸,,
coverage,park,,,公园,,
coverage,part,,,部分,,
coverage,pass,,,经过,,
coverage,past,,,过去,,
coverage,pay,,,付款,,
coverage,people,,,人们,,
coverage,perfect,,,完美的,,
coverage,perhaps,,,也许,,
coverage,person,,,人,,
coverage,phone,,,电话,,
coverage,photo,,,照片,,
coverage,piece,,,一块,,
coverage,place,,,地方,,
coverage,plain,,,朴素的,,
coverage,plant,,,植物,,
coverage,platform,,,站台,,
coverage,please,,,请,,
coverage,pocket,,,口袋,,
coverage,point,,,点,,
coverage,post,,,邮件,,
coverage,print,,,印刷,,
coverage,probably,,,大概,,
coverage,problem,,,问题,,
coverage,proof,,,证据,,
coverage,prove,,,证明,,
coverage,pull,,,拉,,
coverage,push,,,推,,
coverage,put,,,放,,
coverage,quarter,,,四分之一,,
coverage,question,,,问题,,
coverage,quiet,,,安静的,,
coverage,quietly,,,安静地,,
coverage,quite,,,相当,,
coverage,radio,,,收音机,,
coverage,reach,,,到达,,
coverage,read,,,读,,
coverage,ready,,,准备好的,,
coverage,real,,,真实的,,
coverage,reason,,,原因,,
coverage,register,,,登记,,
coverage,rest,,,休息/其余,,
coverage,return,,,返回,,
coverage,right,,,对,,
coverage,ring,,,响,,
coverage,river,,,河,,
coverage,road,,,路,,
coverage,room,,,房间,,
coverage,round,,,圆/周围,,
coverage,rower,,,划船者,,
coverage,rub,,,擦,,
coverage,run,,,跑,,
coverage,said,,,说过,,
coverage,same,,,相同,,
coverage,sat,,,坐下了,,
coverage,save,,,节省/救,,
coverage,saw,,,看见了,,
coverage,say,,,说,,
coverage,second,,,第二,,
coverage,see,,,看见,,
coverage,seem,,,似乎,,
coverage,sell,,,卖,,
coverage,send,,,发送,,
coverage,sense,,,意义,,
coverage,sent,,,发送了,,
coverage,set,,,放置,,
coverage,seven,,,七,,
coverage,shake,,,摇,,
coverage,shape,,,形状,,
coverage,share,,,分享,,
coverage,sheet,,,一张,,
coverage,shop,,,商店,,
coverage,short,,,短的,,
coverage,shot,,,一份,,
coverage,shoulder,,,肩膀,,
coverage,show,,,展示,,
coverage,shut,,,关,,
coverage,side,,,边,,
coverage,sign,,,招牌,,
coverage,silence,,,沉默,,
coverage,simple,,,简单的,,
coverage,since,,,自从,,
coverage,single,,,单一的,,
coverage,sister,,,姐妹,,
coverage,sit,,,坐,,
coverage,six,,,六,,
coverage,sixty,,,六十,,
coverage,sky,,,天空,,
coverage,sleep,,,睡觉,,
coverage,slow,,,慢的,,
coverage,small,,,小的,,
coverage,smart,,,时髦的,,
coverage,smell,,,气味,,
coverage,smile,,,微笑,,
coverage,smooth,,,光滑的,,
coverage,soften,,,软化,,
coverage,somebody,,,某人,,
coverage,someone,,,某人,,
coverage,something,,,某物,,
coverage,somewhere,,,某处,,
coverage,sorry,,,对不起,,
coverage,sort,,,种类,,
coverage,sound,,,声音,,
coverage,spare,,,备用的,,
coverage,speak,,,说话,,
coverage,spent,,,花了,,
coverage,spring,,,春天,,
coverage,square,,,广场,,
coverage,stairs,,,楼梯,,
coverage,stamp,,,邮票,,
coverage,stand,,,站,,
coverage,start,,,开始,,
coverage,station,,,车站,,
coverage,stay,,,停留,,
coverage,step,,,脚步/台阶,,
coverage,still,,,仍然,,
coverage,stone,,,石头,,
coverage,stop,,,停,,
coverage,story,,,故事,,
coverage,straight,,,直,,
coverage,strange,,,奇怪的,,
coverage,stranger,,,陌生人,,
coverage,street,,,街道,,
coverage,strong,,,强壮的,,
coverage,suit,,,西装,,
coverage,sure,,,确定的,,
coverage,surprise,,,惊讶,,
coverage,swing,,,摆动,,
coverage,table,,,桌子,,
coverage,take,,,拿,,
coverage,talk,,,谈话,,
coverage,taxi,,,出租车,,
coverage,tea,,,茶,,
coverage,telephone,,,电话,,
coverage,tell,,,告诉,,
coverage,ten,,,十,,
coverage,thank,,,感谢,,
coverage,thick,,,厚的,,
coverage,thin,,,薄的,,
coverage,thing,,,东西,,
coverage,think,,,想,,
coverage,third,,,第三,,
coverage,three,,,三,,
coverage,through,,,穿过,,
coverage,throw,,,扔,,
coverage,ticket,,,票,,
coverage,till,,,直到,,
coverage,time,,,时间,,
coverage,tin,,,锡,,
coverage,tip,,,小费/尖端,,
coverage,tired,,,累的,,
coverage,today,,,今天,,
coverage,together,,,一起,,
coverage,told,,,告诉了,,
coverage,tomorrow,,,明天,,
coverage,tonight,,,今晚,,
coverage,took,,,拿了,,
coverage,top,,,顶部,,
coverage,total,,,总数,,
coverage,toward,,,朝向,,
coverage,towel,,,毛巾,,
coverage,train,,,火车,,
coverage,traveller,,,旅客,,
coverage,trust,,,信任,,
coverage,try,,,尝试,,
coverage,turn,,,转,,
coverage,twelve,,,十二,,
coverage,twenty,,,二十,,
coverage,twice,,,两次,,
coverage,two,,,二,,
coverage,type,,,类型,,
coverage,understand,,,理解,,
coverage,until,,,直到,,
coverage,upstairs,,,楼上,,
coverage,use,,,使用,,
coverage,voice,,,声音,,
coverage,wait,,,等待,,
coverage,wake,,,醒来,,
coverage,walk,,,走,,
coverage,wall,,,墙,,
coverage,want,,,想要,,
coverage,warm,,,温暖的,,
coverage,watch,,,观察,,
coverage,water,,,水,,
coverage,way,,,路,,
coverage,week,,,星期,,
coverage,went,,,去了,,
coverage,wet,,,湿的,,
coverage,whatever,,,无论什么,,
coverage,white,,,白色的,,
coverage,whole,,,整个的,,
coverage,window,,,窗户,,
coverage,without,,,没有,,
coverage,woke,,,醒了,,
coverage,woman,,,女人,,
coverage,word,,,词,,
coverage,work,,,工作,,
coverage,worse,,,更糟,,
coverage,worth,,,值得,,
coverage,write,,,写,,
coverage,written,,,写的,,
coverage,wrong,,,错误的,,
coverage,wrote,,,写了,,
