tier,headword,part_of_speech,english_definition,draft_es,corrected_translation,reviewer_notes
curated,wave,verb,to move your hand to say hello or goodbye,saludar con la mano,,
curated,weed,noun,a wild plant growing where it is not wanted,la mala hierba,,
curated,weep,verb,to cry,llorar,,
curated,whoever,pronoun,any person who; the person who,quienquiera,,
curated,windscreen,noun,the big glass window at the front of a car,el parabrisas,,
curated,within,preposition,inside; before the end of a period,dentro de,,
curated,wrap,verb,to put something around another thing to cover it,envolver,,
coverage,able,,,capaz,,
coverage,about,,,sobre,,
coverage,above,,,encima,,
coverage,accident,,,el accidente,,
coverage,across,,,a través,,
coverage,add,,,añadir,,
coverage,address,,,la dirección,,
coverage,advice,,,el consejo,,
coverage,against,,,contra,,
coverage,ago,,,hace,,
coverage,air,,,el aire,,
coverage,almost,,,casi,,
coverage,alone,,,solo,,
coverage,along,,,a lo largo de,,
coverage,already,,,ya,,
coverage,always,,,siempre,,
coverage,another,,,otro,,
coverage,answer,,,responder,,
coverage,anyone,,,cualquiera,,
coverage,anything,,,cualquier cosa,,
coverage,anywhere,,,en cualquier lugar,,
coverage,around,,,alrededor,,
coverage,arrive,,,llegar,,
coverage,ask,,,preguntar,,
coverage,away,,,lejos,,
coverage,back,,,atrás,,
coverage,bag,,,la bolsa,,
coverage,bank,,,el banco/la orilla,,
coverage,bar,,,el bar,,
coverage,bed,,,la cama,,
coverage,begin,,,empezar,,
coverage,begun,,,empezado,,
coverage,behind,,,detrás,,
coverage,believe,,,creer,,
coverage,belong,,,pertenecer,,
coverage,below,,,debajo,,
coverage,beneath,,,debajo de,,
coverage,beside,,,al lado de,,
coverage,best,,,el mejor,,
coverage,better,,,mejor,,
coverage,big,,,grande,,
coverage,black,,,negro,,
coverage,board,,,el tablero,,
coverage,book,,,el libro,,
coverage,both,,,ambos,,
coverage,bottom,,,el fondo,,
coverage,breakfast,,,el desayuno,,
coverage,bridge,,,el puente,,
coverage,bright,,,brillante,,
coverage,brother,,,el hermano,,
coverage,brought,,,trajo,,
coverage,building,,,el edificio,,
coverage,burn,,,quemar,,
coverage,bus,,,el autobús,,
coverage,business,,,el negocio,,
coverage,cab,,,el taxi,,
coverage,cafe,,,el café,,
coverage,call,,,llamar,,
coverage,calm,,,tranquilo,,
coverage,came,,,vino,,
coverage,cannot,,,no puede,,
coverage,cap,,,la gorra,,
coverage,car,,,el coche,,
coverage,card,,,la tarjeta,,
coverage,care,,,el cuidado,,
coverage,careful,,,cuidadoso,,
coverage,carry,,,llevar,,
coverage,case,,,el caso,,
coverage,catch,,,atrapar,,
coverage,certain,,,cierto,,
coverage,chair,,,la silla,,
coverage,chance,,,la oportunidad,,
coverage,change,,,cambiar,,
coverage,circle,,,el círculo,,
coverage,city,,,la ciudad,,
coverage,clean,,,limpio,,
coverage,clear,,,claro,,
coverage,climb,,,subir,,
coverage,clock,,,el reloj,,
coverage,close,,,cerrar,,
coverage,cloth,,,la tela,,
coverage,coat,,,el abrigo,,
coverage,coffee,,,el café,,
coverage,cold,,,frío,,
coverage,collar,,,el cuello,,
coverage,colour,,,el color,,
coverage,come,,,venir,,
coverage,comfortable,,,cómodo,,
coverage,company,,,la empresa,,
coverage,complete,,,completo,,
coverage,corner,,,la esquina,,
coverage,cost,,,costar,,
coverage,count,,,contar,,
coverage,counter,,,el mostrador,,
coverage,country,,,el país,,
coverage,course,,,el curso,,
coverage,cross,,,cruzar,,
coverage,cup,,,la taza,,
coverage,dad,,,el papá,,
coverage,dark,,,oscuro,,
coverage,date,,,la fecha,,
coverage,dawn,,,el amanecer,,
coverage,day,,,el día,,
coverage,dead,,,muerto,,
coverage,deal,,,el trato,,
coverage,decide,,,decidir,,
coverage,degree,,,el grado,,
coverage,delivery,,,la entrega,,
coverage,desk,,,el escritorio,,
coverage,direction,,,la dirección,,
coverage,door,,,la puerta,,
coverage,draw,,,dibujar,,
coverage,dress,,,el vestido,,
coverage,drive,,,conducir,,
coverage,driver,,,el conductor,,
coverage,dying,,,muriendo,,
coverage,early,,,temprano,,
coverage,easy,,,fácil,,
coverage,edge,,,el borde,,
coverage,eight,,,ocho,,
coverage,either,,,cualquiera,,
coverage,eleven,,,once,,
coverage,else,,,más,,
coverage,empty,,,vacío,,
coverage,end,,,el final,,
coverage,engine,,,el motor,,
coverage,enough,,,suficiente,,
coverage,even,,,incluso,,
coverage,everybody,,,todos,,
coverage,everyone,,,todos,,
coverage,everything,,,todo,,
coverage,everywhere,,,en todas partes,,
coverage,exactly,,,exactamente,,
coverage,except,,,excepto,,
coverage,exit,,,la salida,,
coverage,expect,,,esperar,,
coverage,explain,,,explicar,,
coverage,extra,,,extra,,
coverage,eye,,,el ojo,,
coverage,face,,,la cara,,
coverage,fact,,,el hecho,,
coverage,far,,,lejos,,
coverage,fast,,,rápido,,
coverage,father,,,el padre,,
coverage,feel,,,sentir,,
coverage,figure,,,la figura,,
coverage,final,,,final,,
coverage,find,,,encontrar,,
coverage,finger,,,el dedo,,
coverage,finish,,,terminar,,
coverage,first,,,primero,,
coverage,five,,,cinco,,
coverage,fix,,,arreglar,,
coverage,flat,,,el piso/plano,,
coverage,floor,,,el suelo/piso,,
coverage,follow,,,seguir,,
coverage,foot,,,el pie,,
coverage,force,,,la fuerza/forzar,,
coverage,forgotten,,,olvidado,,
coverage,form,,,el formulario,,
coverage,found,,,encontró,,
coverage,four,,,cuatro,,
coverage,fourth,,,cuarto,,
coverage,free,,,libre/gratis,,
coverage,front,,,el frente,,
coverage,full,,,lleno,,
coverage,gap,,,el hueco,,
coverage,gate,,,la puerta,,
coverage,gather,,,reunir,,
coverage,get,,,conseguir,,
coverage,girl,,,la niña,,
coverage,give,,,dar,,
coverage,glass,,,el vidrio,,
coverage,go,,,ir,,
coverage,gone,,,ido,,
coverage,good,,,bueno,,
coverage,got,,,obtuvo,,
coverage,great,,,genial,,
coverage,green,,,verde,,
coverage,grey,,,gris,,
coverage,grow,,,crecer,,
coverage,guard,,,el guardia,,
coverage,guess,,,adivinar,,
coverage,half,,,la mitad,,
coverage,hall,,,el vestíbulo,,
coverage,hand,,,la mano,,
coverage,happen,,,pasar,,
coverage,hard,,,duro,,
coverage,hate,,,odiar,,
coverage,head,,,la cabeza,,
coverage,hear,,,oír,,
coverage,heard,,,oyó,,
coverage,heart,,,el corazón,,
coverage,heater,,,la calefacción,,
coverage,help,,,ayudar,,
coverage,hidden,,,escondido,,
coverage,high,,,alto,,
coverage,hire,,,contratar,,
coverage,hold,,,sostener,,
coverage,home,,,la casa,,
coverage,honest,,,honesto,,
coverage,hope,,,esperar,,
coverage,hot,,,caliente,,
coverage,hotel,,,el hotel,,
coverage,hour,,,la hora,,
coverage,hundred,,,cien,,
coverage,hurry,,,apurarse,,
coverage,hurt,,,doler,,
coverage,hut,,,la caseta,,
coverage,idea,,,la idea,,
coverage,inside,,,dentro,,
coverage,job,,,el empleo,,
coverage,joke,,,el chiste,,
coverage,keep,,,guardar,,
coverage,key,,,la llave,,
coverage,kind,,,amable,,
coverage,kitchen,,,la cocina,,
coverage,know,,,saber,,
coverage,known,,,conocido,,
coverage,lamp,,,la lámpara,,
coverage,large,,,grande,,
coverage,last,,,último,,
coverage,late,,,tarde,,
coverage,laugh,,,reír,,
coverage,learnt,,,aprendió,,
coverage,least,,,el menos,,
coverage,leave,,,salir,,
coverage,left,,,izquierda,,
coverage,length,,,la longitud,,
coverage,less,,,menos,,
coverage,let,,,dejar,,
coverage,letter,,,la carta,,
coverage,lie,,,mentir/tumbarse,,
coverage,life,,,la vida,,
coverage,light,,,la luz,,
coverage,like,,,gustar/como,,
coverage,line,,,la línea,,
coverage,list,,,la lista,,
coverage,listen,,,escuchar,,
coverage,little,,,poco,,
coverage,load,,,cargar,,
coverage,lock,,,cerrar con llave,,
coverage,long,,,largo,,
coverage,look,,,mirar,,
coverage,lose,,,perder,,
coverage,lost,,,perdido,,
coverage,lot,,,mucho,,
coverage,loud,,,alto,,
coverage,love,,,amar,,
coverage,low,,,bajo,,
coverage,luck,,,la suerte,,
coverage,machine,,,la máquina,,
coverage,man,,,el hombre,,
coverage,manage,,,lograr/gestionar,,
coverage,map,,,el mapa,,
coverage,mark,,,la marca,,
coverage,market,,,el mercado,,
coverage,matter,,,importar,,
coverage,maybe,,,quizás,,
coverage,mean,,,significar,,
coverage,meant,,,significaba,,
coverage,meet,,,conocer,,
coverage,met,,,conoció,,
coverage,metal,,,el metal,,
coverage,mind,,,la mente,,
coverage,minute,,,el minuto,,
coverage,mirror,,,el espejo,,
coverage,miss,,,perder,,
coverage,mistake,,,el error,,
coverage,mobile,,,el móvil,,
coverage,moment,,,el momento,,
coverage,money,,,el dinero,,
coverage,month,,,el mes,,
coverage,morning,,,la mañana,,
coverage,mother,,,la madre,,
coverage,move,,,mover,,
coverage,name,,,el nombre,,
coverage,narrow,,,estrecho,,
coverage,near,,,cerca de,,
coverage,neck,,,el cuello,,
coverage,need,,,necesitar,,
coverage,never,,,nunca,,
coverage,new,,,nuevo,,
coverage,next,,,próximo,,
coverage,night,,,la noche,,
coverage,nine,,,nueve,,
coverage,nobody,,,nadie,,
coverage,normal,,,normal,,
coverage,note,,,la nota,,
coverage,nothing,,,nada,,
coverage,notice,,,notar,,
coverage,now,,,ahora,,
coverage,nowhere,,,en ningún lugar,,
coverage,number,,,el número,,
coverage,odd,,,raro,,
coverage,off,,,apagado/fuera,,
coverage,office,,,la oficina,,
coverage,old,,,viejo,,
coverage,onto,,,sobre,,
coverage,open,,,abrir,,
coverage,other,,,otro,,
coverage,outside,,,fuera,,
coverage,own,,,propio,,
coverage,page,,,la página,,
coverage,paid,,,pagó,,
coverage,paint,,,la pintura,,
coverage,pair,,,el par,,
coverage,paper,,,el papel,,
coverage,park,,,el parque,,
coverage,part,,,la parte,,
coverage,pass,,,pasar,,
coverage,past,,,pasado,,
coverage,pay,,,pagar,,
coverage,people,,,la gente,,
coverage,perfect,,,perfecto,,
coverage,perhaps,,,quizás,,
coverage,person,,,la persona,,
coverage,phone,,,el teléfono,,
coverage,photo,,,la foto,,
coverage,piece,,,el trozo,,
coverage,place,,,el lugar,,
coverage,plain,,,sencillo,,
coverage,plant,,,la planta,,
coverage,platform,,,el andén,,
coverage,please,,,por favor,,
coverage,pocket,,,el bolsillo,,
coverage,point,,,el punto,,
coverage,post,,,el correo,,
coverage,print,,,imprimir,,
coverage,probably,,,probablemente,,
coverage,problem,,,el problema,,
coverage,proof,,,la prueba,,
coverage,prove,,,probar,,
coverage,pull,,,tirar,,
coverage,push,,,empujar,,
coverage,put,,,poner,,
coverage,quarter,,,el cuarto,,
coverage,question,,,la pregunta,,
coverage,quiet,,,tranquilo,,
coverage,quietly,,,en voz baja,,
coverage,quite,,,bastante,,
coverage,radio,,,la radio,,
coverage,reach,,,alcanzar,,
coverage,read,,,leer,,
coverage,ready,,,listo,,
coverage,real,,,real,,
coverage,reason,,,la razón,,
coverage,register,,,registrarse,,
coverage,rest,,,el descanso/el resto,,
coverage,return,,,volver,,
coverage,right,,,derecha/correcto,,
coverage,ring,,,sonar,,
coverage,river,,,el río,,
coverage,road,,,la carretera,,
coverage,room,,,la habitación,,
coverage,round,,,redondo/alrededor,,
coverage,rower,,,el remero,,
coverage,rub,,,frotar,,
coverage,run,,,correr,,
coverage,said,,,dijo,,
coverage,same,,,mismo,,
coverage,sat,,,se sentó,,
coverage,save,,,salvar/ahorrar,,
coverage,saw,,,vio,,
coverage,say,,,decir,,
coverage,second,,,segundo,,
coverage,see,,,ver,,
coverage,seem,,,parecer,,
coverage,sell,,,vender,,
coverage,send,,,enviar,,
coverage,sense,,,el sentido,,
coverage,sent,,,envió,,
coverage,set,,,poner,,
coverage,seven,,,siete,,
coverage,shake,,,sacudir,,
coverage,shape,,,la forma,,
coverage,share,,,compartir,,
coverage,sheet,,,la hoja,,
coverage,shop,,,la tienda,,
coverage,short,,,corto,,
coverage,shot,,,el chorro,,
coverage,shoulder,,,el hombro,,
coverage,show,,,mostrar,,
coverage,shut,,,cerrar,,
coverage,side,,,el lado,,
coverage,sign,,,el letrero,,
coverage,silence,,,el silencio,,
coverage,simple,,,simple,,
coverage,since,,,desde,,
coverage,single,,,único,,
coverage,sister,,,la hermana,,
coverage,sit,,,sentarse,,
coverage,six,,,seis,,
coverage,sixty,,,sesenta,,
coverage,sky,,,el cielo,,
coverage,sleep,,,dormir,,
coverage,slow,,,lento,,
coverage,small,,,pequeño,,
coverage,smart,,,elegante,,
coverage,smell,,,el olor,,
coverage,smile,,,sonreír,,
coverage,smooth,,,suave,,
coverage,soften,,,suavizar,,
coverage,somebody,,,alguien,,
coverage,someone,,,alguien,,
coverage,something,,,algo,,
coverage,somewhere,,,en algún lugar,,
coverage,sorry,,,lo siento,,
coverage,sort,,,el tipo,,
coverage,sound,,,el sonido,,
coverage,spare,,,de repuesto,,
coverage,speak,,,hablar,,
coverage,spent,,,pasó/gastó,,
coverage,spring,,,la primavera,,
coverage,square,,,la plaza,,
coverage,stairs,,,las escaleras,,
coverage,stamp,,,el sello,,
coverage,stand,,,estar de pie,,
coverage,start,,,empezar,,
coverage,station,,,la estación,,
coverage,stay,,,quedarse,,
coverage,step,,,el paso/escalón,,
coverage,still,,,todavía,,
coverage,stone,,,la piedra,,
coverage,stop,,,parar,,
coverage,story,,,la historia,,
coverage,straight,,,recto,,
coverage,strange,,,extraño,,
coverage,stranger,,,el desconocido,,
coverage,street,,,la calle,,
coverage,strong,,,fuerte,,
coverage,suit,,,el traje,,
coverage,sure,,,seguro,,
coverage,surprise,,,la sorpresa,,
coverage,swing,,,balancear,,
coverage,table,,,la mesa,,
coverage,take,,,tomar,,
coverage,talk,,,hablar,,
coverage,taxi,,,el taxi,,
coverage,tea,,,el té,,
coverage,telephone,,,el teléfono,,
coverage,tell,,,decir,,
coverage,ten,,,diez,,
coverage,thank,,,agradecer,,
coverage,thick,,,grueso,,
coverage,thin,,,delgado,,
coverage,thing,,,la cosa,,
coverage,think,,,pensar,,
coverage,third,,,tercero,,
coverage,three,,,tres,,
coverage,through,,,a través de,,
coverage,throw,,,lanzar,,
coverage,ticket,,,el billete,,
coverage,till,,,hasta,,
coverage,time,,,el tiempo,,
coverage,tin,,,la lata,,
coverage,tip,,,la propina/la punta,,
coverage,tired,,,cansado,,
coverage,today,,,hoy,,
coverage,together,,,juntos,,
coverage,told,,,dijo,,
coverage,tomorrow,,,mañana,,
coverage,tonight,,,esta noche,,
coverage,took,,,tomó,,
coverage,top,,,la parte de arriba,,
