tier,headword,part_of_speech,english_definition,draft_pt,corrected_translation,reviewer_notes
curated,kettle,noun,a container for boiling water,a chaleira,,
curated,kiosk,noun,"a very small shop on a street that sells newspapers, drinks and small things",o quiosque,,
curated,label,noun,"a small piece of paper or plastic on a thing, with writing on it",a etiqueta,,
curated,launderette,noun,a shop with machines where you pay to wash clothes,a lavandaria,,
curated,layout,noun,the way the parts of something are arranged,a disposição,,
curated,lean,verb,"to rest against something, or to bend your body",apoiar-se / inclinar-se,,
curated,letterhead,noun,the printed name and address at the top of a firm's paper,o cabeçalho,,
curated,lobby,noun,the open area just inside the entrance of a building,o átrio,,
curated,lone,adjective,single; on its own,solitário,,
curated,luggage,noun,the bags and cases you take when you travel,a bagagem,,
curated,lunchtime,noun,the time in the middle of the day when people eat lunch,a hora do almoço,,
curated,mattress,noun,the soft part of a bed you lie on,o colchão,,
curated,midnight,noun,twelve o'clock at night,a meia-noite,,
curated,murmur,verb,"to say something in a low, soft voice",murmurar,,
curated,napkin,noun,a small piece of cloth or paper for your mouth and hands at a meal,o guardanapo,,
curated,natural,adjective,normal; as expected; not made by people,natural,,
curated,navigate,verb,to find your way from one place to another,orientar-se,,
curated,necessary,adjective,needed; that you must have or do,necessário,,
curated,neither,determiner,not one and not the other of two,nenhum dos dois,,
curated,nerve,noun,the courage to do something difficult,a coragem,,
curated,newsstand,noun,a small stall that sells newspapers,a banca de jornais,,
curated,nod,verb,to move your head down and up to mean yes,acenar com a cabeça,,
curated,oar,noun,a long pole with a flat end for rowing a boat,o remo,,
curated,obvious,adjective,easy to see or understand,óbvio,,
curated,ordinary,adjective,normal; not special,comum,,
curated,original,adjective,"first; the earliest, before any change",original,,
curated,otherwise,adverb,if not; in a different way,caso contrário,,
curated,ought,verb,should; used to say the right thing to do (ought to),dever (deveria),,
curated,overhear,verb,to hear what others say without them knowing,ouvir por acaso,,
curated,pale,adjective,light in colour; (of a face) with little colour,pálido,,
curated,panel,noun,"a flat piece of wood, glass or metal",o painel,,
curated,particular,adjective,"one special one, not any other",específico,,
curated,patience,noun,the calm you keep while waiting or through trouble,a paciência,,
curated,pause,verb,to stop for a short time before going on,fazer uma pausa,,
curated,pavement,noun,the hard path at the side of a road for people to walk on,o passeio,,
curated,photograph,noun,a picture made with a camera,a fotografia,,
curated,pity,noun,a sad feeling for someone else's trouble,a pena,,
curated,pointed,adjective,said in a sharp way to make a clear point,incisivo,,
curated,pour,verb,to make a liquid flow out of a container,despejar,,
curated,precise,adjective,exact and clear,preciso,,
curated,pretend,verb,to act as if something is true when it is not,fingir,,
curated,proper,adjective,real and correct; of the right kind,adequado,,
curated,proud,adjective,pleased with yourself; or too sure of your own worth,orgulhoso,,
curated,punctual,adjective,arriving exactly on time,pontual,,
curated,quay,noun,a hard flat place next to water where boats stop; said like KEY,o cais,,
curated,queue,noun,a line of people waiting for something,a fila,,
curated,radiator,noun,a metal heater on a wall that warms a room,o radiador,,
curated,rather,adverb,quite; to a fairly large degree,bastante,,
curated,realise,verb,to suddenly understand something,aperceber-se,,
curated,reasonable,adjective,fair and sensible; not too much,razoável,,
curated,receipt,noun,a small paper that shows you paid for something; said like ri-SEET,o recibo,,
curated,reception,noun,the desk near the door of a building where visitors go first,a receção,,
curated,receptionist,noun,the person who works at the reception desk,o/a rececionista,,
curated,recognise,verb,to know someone or something because you have seen it before,reconhecer,,
curated,reference,noun,a number or word used to find something on a list,a referência,,
curated,refuse,verb,to say firmly that you will not do or accept something,recusar,,
curated,regardless,adverb,in spite of everything; without caring about it,apesar de tudo,,
curated,registration,noun,the act of putting your name on an official list,o registo,,
curated,regular,noun,a customer who comes to a place often,o cliente habitual,,
curated,rehearse,verb,to practise words or actions before doing them,ensaiar,,
curated,reliable,adjective,that you can trust to work or be right,fiável,,
curated,reserve,verb,to keep something for later or for a certain person,reservar,,
curated,restful,adjective,calm and peaceful; giving rest,tranquilo,,
curated,rucksack,noun,a bag you carry on your back,a mochila,,
curated,scrap,noun,"a small piece of something, especially paper",o pedaço,,
curated,scrape,verb,to rub against a surface with a rough sound,raspar,,
curated,screen,noun,the flat part of a phone or computer that shows pictures and words,o ecrã,,
curated,sensible,adjective,showing good judgement; wise,sensato,,
curated,settle,verb,to sit or rest comfortably; to sort something out,acomodar-se,,
curated,shrug,verb,to raise your shoulders to show you don't know or care,encolher os ombros,,
curated,shutter,noun,a metal or wooden cover that closes over a window or shop,o gradeamento,,
curated,shuttered,adjective,closed with a metal or wooden cover,fechado com grade,,
curated,sigh,verb,"to let out a long breath, often when tired or sad",suspirar,,
curated,signature,noun,your name written in your own way to sign something,a assinatura,,
curated,sinister,adjective,seeming evil or that something bad will happen,sinistro,,
curated,sleeve,noun,the part of clothing that covers your arm,a manga,,
curated,slide,verb,to move smoothly along a surface,deslizar,,
curated,somehow,adverb,in a way you do not know or cannot explain,de algum modo,,
curated,stack,verb,to put things one on top of another,empilhar,,
curated,stall,noun,a small open shop or table in a market,a banca,,
curated,standard,adjective,normal and usual; the ordinary kind,padrão,,
curated,stark,adjective,"plain and clear, often in a harsh way",cru,,
curated,steady,adjective,firm and not shaking; regular,firme,,
curated,steam,noun,the hot white gas that comes off boiling water,o vapor,,
curated,steel,noun,a strong hard metal made mostly of iron,o aço,,
curated,strap,noun,a narrow band of leather or cloth for carrying or fastening,a alça,,
curated,streetlight,noun,a tall lamp that lights a street at night,o candeeiro de rua,,
curated,suppose,verb,to think something is probably true,supor,,
curated,survive,verb,to stay alive or keep existing through a hard time,sobreviver,,
curated,suspect,verb,"to think something is probably true, without being sure",suspeitar,,
curated,swindle,noun,a clever trick to take someone's money,a fraude,,
curated,switch,verb,to change from one thing to another; to turn on or off,mudar / desligar,,
curated,tape,verb,to stick something using sticky tape,colar com fita,,
curated,thread,noun,a thin line of something; the line of an idea,o fio,,
curated,tiny,adjective,extremely small,minúsculo,,
curated,torn,adjective,pulled apart or damaged; ripped,rasgado,,
curated,tray,noun,a flat object for carrying or holding things,o tabuleiro,,
curated,trot,verb,"to move at a quick, light run",trotar,,
curated,truth,noun,what is really true,a verdade,,
curated,unfamiliar,adjective,not known to you,desconhecido,,
curated,unkind,adjective,not kind; a little cruel,rude,,
curated,update,verb,to add the newest information to something,atualizar,,
curated,useless,adjective,of no use; not working,inútil,,
curated,van,noun,a covered vehicle for carrying goods,a carrinha,,
curated,vanish,verb,to disappear suddenly and completely,desaparecer,,
curated,vast,adjective,extremely large in size or amount,vasto,,
curated,vehicle,noun,a machine such as a car or van that carries people or goods,o veículo,,
curated,visible,adjective,that can be seen,visível,,
curated,warmth,noun,the quality of being warm; gentle heat,o calor,,
curated,waste,verb,"to use time or money badly, for nothing",desperdiçar,,
curated,watchman,noun,"a person who guards a building, especially at night",o guarda-noturno,,
curated,wave,verb,to move your hand to say hello or goodbye,acenar,,
curated,weed,noun,a wild plant growing where it is not wanted,a erva daninha,,
curated,weep,verb,to cry,chorar,,
curated,whoever,pronoun,any person who; the person who,quem quer que,,
curated,windscreen,noun,the big glass window at the front of a car,o para-brisas,,
curated,within,preposition,inside; before the end of a period,dentro de,,
curated,wrap,verb,to put something around another thing to cover it,embrulhar,,
coverage,able,,,capaz,,
coverage,about,,,sobre,,
coverage,above,,,acima,,
coverage,accident,,,o acidente,,
coverage,across,,,através,,
coverage,add,,,adicionar,,
coverage,address,,,o endereço,,
coverage,advice,,,o conselho,,
coverage,against,,,contra,,
coverage,ago,,,atrás,,
coverage,air,,,o ar,,
coverage,almost,,,quase,,
coverage,alone,,,sozinho,,
coverage,along,,,ao longo de,,
coverage,already,,,já,,
coverage,always,,,sempre,,
coverage,another,,,outro,,
coverage,answer,,,responder,,
coverage,anyone,,,qualquer um,,
coverage,anything,,,qualquer coisa,,
coverage,anywhere,,,em qualquer lugar,,
coverage,around,,,à volta,,
coverage,arrive,,,chegar,,
coverage,ask,,,perguntar,,
coverage,away,,,longe,,
coverage,back,,,de volta,,
coverage,bag,,,o saco,,
coverage,bank,,,o banco/a margem,,
coverage,bar,,,o bar,,
coverage,bed,,,a cama,,
coverage,begin,,,começar,,
coverage,begun,,,começado,,
coverage,behind,,,atrás,,
coverage,believe,,,acreditar,,
coverage,belong,,,pertencer,,
coverage,below,,,abaixo,,
coverage,beneath,,,sob,,
coverage,beside,,,ao lado de,,
coverage,best,,,o melhor,,
coverage,better,,,melhor,,
coverage,big,,,grande,,
coverage,black,,,preto,,
coverage,board,,,o quadro,,
coverage,book,,,o livro,,
coverage,both,,,ambos,,
coverage,bottom,,,o fundo,,
coverage,breakfast,,,o café da manhã,,
coverage,bridge,,,a ponte,,
coverage,bright,,,brilhante,,
coverage,brother,,,o irmão,,
coverage,brought,,,trouxe,,
coverage,building,,,o edifício,,
coverage,burn,,,queimar,,
coverage,bus,,,o autocarro,,
coverage,business,,,o negócio,,
coverage,cab,,,o táxi,,
coverage,cafe,,,o café,,
coverage,call,,,chamar,,
coverage,calm,,,calmo,,
coverage,came,,,veio,,
coverage,cannot,,,não pode,,
coverage,cap,,,o boné,,
coverage,car,,,o carro,,
coverage,card,,,o cartão,,
coverage,care,,,o cuidado,,
coverage,careful,,,cuidadoso,,
coverage,carry,,,carregar,,
coverage,case,,,o caso,,
coverage,catch,,,apanhar,,
coverage,certain,,,certo,,
coverage,chair,,,a cadeira,,
coverage,chance,,,a chance,,
coverage,change,,,mudar,,
coverage,circle,,,o círculo,,
coverage,city,,,a cidade,,
coverage,clean,,,limpo,,
coverage,clear,,,claro,,
coverage,climb,,,subir,,
coverage,clock,,,o relógio,,
coverage,close,,,fechar,,
coverage,cloth,,,o pano,,
coverage,coat,,,o casaco,,
coverage,coffee,,,o café,,
coverage,cold,,,frio,,
coverage,collar,,,a gola,,
coverage,colour,,,a cor,,
coverage,come,,,vir,,
coverage,comfortable,,,confortável,,
coverage,company,,,a empresa,,
coverage,complete,,,completo,,
coverage,corner,,,a esquina,,
coverage,cost,,,custar,,
coverage,count,,,contar,,
coverage,counter,,,o balcão,,
coverage,country,,,o país,,
coverage,course,,,o curso,,
coverage,cross,,,atravessar,,
coverage,cup,,,a chávena,,
coverage,dad,,,o pai,,
coverage,dark,,,escuro,,
coverage,date,,,a data,,
coverage,dawn,,,o amanhecer,,
coverage,day,,,o dia,,
coverage,dead,,,morto,,
coverage,deal,,,o acordo,,
coverage,decide,,,decidir,,
coverage,degree,,,o grau,,
coverage,delivery,,,a entrega,,
coverage,desk,,,a secretária,,
coverage,direction,,,a direção,,
coverage,door,,,a porta,,
coverage,draw,,,desenhar,,
coverage,dress,,,o vestido,,
coverage,drive,,,conduzir,,
coverage,driver,,,o motorista,,
coverage,dying,,,morrendo,,
coverage,early,,,cedo,,
coverage,easy,,,fácil,,
coverage,edge,,,a borda,,
coverage,eight,,,oito,,
coverage,either,,,qualquer,,
coverage,eleven,,,onze,,
coverage,else,,,mais,,
coverage,empty,,,vazio,,
coverage,end,,,o fim,,
coverage,engine,,,o motor,,
coverage,enough,,,suficiente,,
coverage,even,,,até,,
coverage,everybody,,,todos,,
coverage,everyone,,,todos,,
coverage,everything,,,tudo,,
coverage,everywhere,,,em todo lado,,
coverage,exactly,,,exatamente,,
coverage,except,,,exceto,,
coverage,exit,,,a saída,,
coverage,expect,,,esperar,,
coverage,explain,,,explicar,,
coverage,extra,,,extra,,
coverage,eye,,,o olho,,
coverage,face,,,o rosto,,
coverage,fact,,,o facto,,
coverage,far,,,longe,,
coverage,fast,,,rápido,,
coverage,father,,,o pai,,
coverage,feel,,,sentir,,
coverage,figure,,,a figura,,
coverage,final,,,final,,
coverage,find,,,encontrar,,
coverage,finger,,,o dedo,,
coverage,finish,,,terminar,,
coverage,first,,,primeiro,,
coverage,five,,,cinco,,
coverage,fix,,,consertar,,
coverage,flat,,,o apartamento/plano,,
coverage,floor,,,o chão/andar,,
coverage,follow,,,seguir,,
coverage,foot,,,o pé,,
coverage,force,,,a força/forçar,,
coverage,forgotten,,,esquecido,,
coverage,form,,,o formulário,,
coverage,found,,,encontrou,,
coverage,four,,,quatro,,
coverage,fourth,,,quarto,,
coverage,free,,,livre/grátis,,
coverage,front,,,a frente,,
coverage,full,,,cheio,,
coverage,gap,,,a fenda,,
coverage,gate,,,o portão,,
coverage,gather,,,reunir,,
coverage,get,,,obter,,
coverage,girl,,,a menina,,
coverage,give,,,dar,,
coverage,glass,,,o vidro,,
coverage,go,,,ir,,
coverage,gone,,,ido,,
coverage,good,,,bom,,
coverage,got,,,obteve,,
coverage,great,,,ótimo,,
coverage,green,,,verde,,
coverage,grey,,,cinzento,,
coverage,grow,,,crescer,,
coverage,guard,,,o guarda,,
coverage,guess,,,adivinhar,,
coverage,half,,,a metade,,
coverage,hall,,,o hall,,
coverage,hand,,,a mão,,
coverage,happen,,,acontecer,,
coverage,hard,,,duro,,
coverage,hate,,,odiar,,
coverage,head,,,a cabeça,,
coverage,hear,,,ouvir,,
coverage,heard,,,ouviu,,
coverage,heart,,,o coração,,
coverage,heater,,,o aquecedor,,
coverage,help,,,ajudar,,
coverage,hidden,,,escondido,,
coverage,high,,,alto,,
coverage,hire,,,contratar,,
coverage,hold,,,segurar,,
coverage,home,,,casa,,
coverage,honest,,,honesto,,
coverage,hope,,,esperar,,
coverage,hot,,,quente,,
coverage,hotel,,,o hotel,,
coverage,hour,,,a hora,,
coverage,hundred,,,cem,,
coverage,hurry,,,apressar-se,,
coverage,hurt,,,doer,,
coverage,hut,,,a cabana,,
coverage,idea,,,a ideia,,
coverage,inside,,,dentro,,
coverage,job,,,o emprego,,
coverage,joke,,,a piada,,
coverage,keep,,,guardar,,
coverage,key,,,a chave,,
coverage,kind,,,gentil,,
coverage,kitchen,,,a cozinha,,
coverage,know,,,saber,,
coverage,known,,,conhecido,,
coverage,lamp,,,o candeeiro,,
coverage,large,,,grande,,
coverage,last,,,último,,
coverage,late,,,tarde,,
coverage,laugh,,,rir,,
coverage,learnt,,,aprendeu,,
coverage,least,,,o menos,,
coverage,leave,,,sair,,
coverage,left,,,esquerda,,
coverage,length,,,o comprimento,,
coverage,less,,,menos,,
coverage,let,,,deixar,,
coverage,letter,,,a carta,,
coverage,lie,,,mentir/deitar,,
coverage,life,,,a vida,,
coverage,light,,,a luz,,
coverage,like,,,gostar/como,,
coverage,line,,,a linha,,
coverage,list,,,a lista,,
coverage,listen,,,ouvir,,
coverage,little,,,pouco,,
coverage,load,,,carregar,,
coverage,lock,,,trancar,,
coverage,long,,,longo,,
coverage,look,,,olhar,,
coverage,lose,,,perder,,
coverage,lost,,,perdido,,
coverage,lot,,,muito,,
coverage,loud,,,alto,,
coverage,love,,,amar,,
coverage,low,,,baixo,,
coverage,luck,,,a sorte,,
coverage,machine,,,a máquina,,
coverage,man,,,o homem,,
coverage,manage,,,conseguir/gerir,,
coverage,map,,,o mapa,,
coverage,mark,,,a marca,,
coverage,market,,,o mercado,,
coverage,matter,,,importar,,
coverage,maybe,,,talvez,,
coverage,mean,,,significar,,
coverage,meant,,,significava,,
coverage,meet,,,encontrar,,
coverage,met,,,conheceu,,
coverage,metal,,,o metal,,
coverage,mind,,,a mente,,
coverage,minute,,,o minuto,,
coverage,mirror,,,o espelho,,
coverage,miss,,,perder,,
coverage,mistake,,,o erro,,
coverage,mobile,,,o telemóvel,,
coverage,moment,,,o momento,,
coverage,money,,,o dinheiro,,
coverage,month,,,o mês,,
coverage,morning,,,a manhã,,
coverage,mother,,,a mãe,,
coverage,move,,,mover,,
coverage,name,,,o nome,,
coverage,narrow,,,estreito,,
coverage,near,,,perto de,,
coverage,neck,,,o pescoço,,
coverage,need,,,precisar,,
coverage,never,,,nunca,,
coverage,new,,,novo,,
coverage,next,,,próximo,,
coverage,night,,,a noite,,
coverage,nine,,,nove,,
coverage,nobody,,,ninguém,,
coverage,normal,,,normal,,
coverage,note,,,a nota,,
coverage,nothing,,,nada,,
coverage,notice,,,notar,,
coverage,now,,,agora,,
coverage,nowhere,,,em lugar nenhum,,
coverage,number,,,o número,,
coverage,odd,,,estranho,,
coverage,off,,,desligado/fora,,
coverage,office,,,o escritório,,
coverage,old,,,velho,,
coverage,onto,,,sobre,,
coverage,open,,,abrir,,
coverage,other,,,outro,,
coverage,outside,,,fora,,
coverage,own,,,próprio,,
coverage,page,,,a página,,
coverage,paid,,,pagou,,
coverage,paint,,,a tinta,,
coverage,pair,,,o par,,
coverage,paper,,,o papel,,
coverage,park,,,o parque,,
coverage,part,,,a parte,,
coverage,pass,,,passar,,
coverage,past,,,passado,,
coverage,pay,,,pagar,,
coverage,people,,,as pessoas,,
coverage,perfect,,,perfeito,,
coverage,perhaps,,,talvez,,
coverage,person,,,a pessoa,,
coverage,phone,,,o telefone,,
coverage,photo,,,a foto,,
coverage,piece,,,o pedaço,,
coverage,place,,,o lugar,,
coverage,plain,,,simples,,
coverage,plant,,,a planta,,
coverage,platform,,,a plataforma,,
coverage,please,,,por favor,,
coverage,pocket,,,o bolso,,
coverage,point,,,o ponto,,
coverage,post,,,o correio,,
coverage,print,,,imprimir,,
coverage,probably,,,provavelmente,,
coverage,problem,,,o problema,,
coverage,proof,,,a prova,,
coverage,prove,,,provar,,
coverage,pull,,,puxar,,
coverage,push,,,empurrar,,
coverage,put,,,pôr,,
coverage,quarter,,,o quarto,,
coverage,question,,,a pergunta,,
coverage,quiet,,,quieto,,
coverage,quietly,,,baixinho,,
coverage,quite,,,bastante,,
coverage,radio,,,o rádio,,
coverage,reach,,,alcançar,,
coverage,read,,,ler,,
coverage,ready,,,pronto,,
coverage,real,,,real,,
coverage,reason,,,a razão,,
coverage,register,,,registar,,
coverage,rest,,,o descanso/o resto,,
coverage,return,,,voltar,,
coverage,right,,,direita/certo,,
coverage,ring,,,tocar,,
coverage,river,,,o rio,,
coverage,road,,,a estrada,,
coverage,room,,,o quarto,,
coverage,round,,,redondo/à volta,,
coverage,rower,,,o remador,,
coverage,rub,,,esfregar,,
coverage,run,,,correr,,
coverage,said,,,disse,,
coverage,same,,,mesmo,,
coverage,sat,,,sentou-se,,
coverage,save,,,salvar/poupar,,
coverage,saw,,,viu,,
coverage,say,,,dizer,,
coverage,second,,,segundo,,
coverage,see,,,ver,,
coverage,seem,,,parecer,,
coverage,sell,,,vender,,
coverage,send,,,enviar,,
coverage,sense,,,o sentido,,
coverage,sent,,,enviou,,
coverage,set,,,pôr,,
coverage,seven,,,sete,,
coverage,shake,,,sacudir,,
coverage,shape,,,a forma,,
coverage,share,,,partilhar,,
coverage,sheet,,,a folha,,
coverage,shop,,,a loja,,
coverage,short,,,curto,,
coverage,shot,,,a dose,,
coverage,shoulder,,,o ombro,,
coverage,show,,,mostrar,,
coverage,shut,,,fechar,,
coverage,side,,,o lado,,
coverage,sign,,,o letreiro,,
coverage,silence,,,o silêncio,,
coverage,simple,,,simples,,
coverage,since,,,desde,,
coverage,single,,,único,,
coverage,sister,,,a irmã,,
coverage,sit,,,sentar-se,,
coverage,six,,,seis,,
coverage,sixty,,,sessenta,,
coverage,sky,,,o céu,,
coverage,sleep,,,dormir,,
coverage,slow,,,lento,,
coverage,small,,,pequeno,,
coverage,smart,,,elegante,,
coverage,smell,,,o cheiro,,
coverage,smile,,,sorrir,,
coverage,smooth,,,liso,,
coverage,soften,,,suavizar,,
coverage,somebody,,,alguém,,
coverage,someone,,,alguém,,
coverage,something,,,algo,,
coverage,somewhere,,,algures,,
coverage,sorry,,,desculpe,,
coverage,sort,,,o tipo,,
coverage,sound,,,o som,,
coverage,spare,,,sobressalente,,
coverage,speak,,,falar,,
coverage,spent,,,passou/gastou,,
coverage,spring,,,a primavera,,
coverage,square,,,a praça,,
coverage,stairs,,,as escadas,,
coverage,stamp,,,o selo,,
coverage,stand,,,ficar de pé,,
coverage,start,,,começar,,
coverage,station,,,a estação,,
coverage,stay,,,ficar,,
coverage,step,,,o passo/degrau,,
coverage,still,,,ainda,,
coverage,stone,,,a pedra,,
coverage,stop,,,parar,,
coverage,story,,,a história,,
coverage,straight,,,direto,,
coverage,strange,,,estranho,,
coverage,stranger,,,o estranho,,
coverage,street,,,a rua,,
coverage,strong,,,forte,,
coverage,suit,,,o fato,,
coverage,sure,,,certo,,
coverage,surprise,,,a surpresa,,
coverage,swing,,,balançar,,
coverage,table,,,a mesa,,
coverage,take,,,pegar,,
coverage,talk,,,falar,,
coverage,taxi,,,o táxi,,
coverage,tea,,,o chá,,
coverage,telephone,,,o telefone,,
coverage,tell,,,dizer,,
coverage,ten,,,dez,,
coverage,thank,,,agradecer,,
coverage,thick,,,grosso,,
coverage,thin,,,fino,,
coverage,thing,,,a coisa,,
coverage,think,,,pensar,,
coverage,third,,,terceiro,,
coverage,three,,,três,,
coverage,through,,,através de,,
coverage,throw,,,atirar,,
coverage,ticket,,,o bilhete,,
coverage,till,,,até,,
coverage,time,,,o tempo,,
coverage,tin,,,a lata,,
coverage,tip,,,a gorjeta/a ponta,,
coverage,tired,,,cansado,,
coverage,today,,,hoje,,
coverage,together,,,juntos,,
coverage,told,,,disse,,
coverage,tomorrow,,,amanhã,,
coverage,tonight,,,esta noite,,
coverage,took,,,pegou,,
coverage,top,,,o topo,,
coverage,total,,,o total,,
