tier,headword,part_of_speech,english_definition,draft_ru,corrected_translation,reviewer_notes
coverage,clock,,,часы,,
coverage,close,,,закрывать,,
coverage,cloth,,,ткань,,
coverage,coat,,,пальто,,
coverage,coffee,,,кофе,,
coverage,cold,,,холодный,,
coverage,collar,,,воротник,,
coverage,colour,,,цвет,,
coverage,come,,,приходить,,
coverage,comfortable,,,удобный,,
coverage,company,,,компания,,
coverage,complete,,,полный,,
coverage,corner,,,угол,,
coverage,cost,,,стоить,,
coverage,count,,,считать,,
coverage,counter,,,прилавок,,
coverage,country,,,страна,,
coverage,course,,,курс,,
coverage,cross,,,пересекать,,
coverage,cup,,,чашка,,
coverage,dad,,,папа,,
coverage,dark,,,тёмный,,
coverage,date,,,дата,,
coverage,dawn,,,рассвет,,
coverage,day,,,день,,
coverage,dead,,,мёртвый,,
coverage,deal,,,сделка,,
coverage,decide,,,решать,,
coverage,degree,,,градус,,
coverage,delivery,,,доставка,,
coverage,desk,,,стол,,
coverage,direction,,,направление,,
coverage,door,,,дверь,,
coverage,draw,,,рисовать,,
coverage,dress,,,платье,,
coverage,drive,,,водить,,
coverage,driver,,,водитель,,
coverage,dying,,,умирающий,,
coverage,early,,,рано,,
coverage,easy,,,лёгкий,,
coverage,edge,,,край,,
coverage,eight,,,восемь,,
coverage,either,,,любой,,
coverage,eleven,,,одиннадцать,,
coverage,else,,,ещё,,
coverage,empty,,,пустой,,
coverage,end,,,конец,,
coverage,engine,,,двигатель,,
coverage,enough,,,достаточно,,
coverage,even,,,даже,,
coverage,everybody,,,все,,
coverage,everyone,,,все,,
coverage,everything,,,всё,,
coverage,everywhere,,,везде,,
coverage,exactly,,,точно,,
coverage,except,,,кроме,,
coverage,exit,,,выход,,
coverage,expect,,,ожидать,,
coverage,explain,,,объяснять,,
coverage,extra,,,дополнительный,,
coverage,eye,,,глаз,,
coverage,face,,,лицо,,
coverage,fact,,,факт,,
coverage,far,,,далеко,,
coverage,fast,,,быстрый,,
coverage,father,,,отец,,
coverage,feel,,,чувствовать,,
coverage,figure,,,фигура,,
coverage,final,,,окончательный,,
coverage,find,,,находить,,
coverage,finger,,,палец,,
coverage,finish,,,заканчивать,,
coverage,first,,,первый,,
coverage,five,,,пять,,
coverage,fix,,,чинить,,
coverage,flat,,,квартира/плоский,,
coverage,floor,,,пол/этаж,,
coverage,follow,,,следовать,,
coverage,foot,,,нога,,
coverage,force,,,сила/заставлять,,
coverage,forgotten,,,забытый,,
coverage,form,,,бланк,,
coverage,found,,,нашёл,,
coverage,four,,,четыре,,
coverage,fourth,,,четвёртый,,
coverage,free,,,свободный/бесплатный,,
coverage,front,,,перёд,,
coverage,full,,,полный,,
coverage,gap,,,щель,,
coverage,gate,,,ворота,,
coverage,gather,,,собирать,,
coverage,get,,,получать,,
coverage,girl,,,девочка,,
coverage,give,,,давать,,
coverage,glass,,,стекло,,
coverage,go,,,идти,,
coverage,gone,,,ушёл,,
coverage,good,,,хороший,,
coverage,got,,,получил,,
coverage,great,,,отличный,,
coverage,green,,,зелёный,,
coverage,grey,,,серый,,
coverage,grow,,,расти,,
coverage,guard,,,охранник,,
coverage,guess,,,угадывать,,
coverage,half,,,половина,,
coverage,hall,,,зал,,
coverage,hand,,,рука,,
coverage,happen,,,случаться,,
coverage,hard,,,трудный,,
coverage,hate,,,ненавидеть,,
coverage,head,,,голова,,
coverage,hear,,,слышать,,
coverage,heard,,,услышал,,
coverage,heart,,,сердце,,
coverage,heater,,,обогреватель,,
coverage,help,,,помогать,,
coverage,hidden,,,скрытый,,
coverage,high,,,высокий,,
coverage,hire,,,нанимать,,
coverage,hold,,,держать,,
coverage,home,,,дом,,
coverage,honest,,,честный,,
coverage,hope,,,надеяться,,
coverage,hot,,,горячий,,
coverage,hotel,,,отель,,
coverage,hour,,,час,,
coverage,hundred,,,сто,,
coverage,hurry,,,спешить,,
coverage,hurt,,,болеть,,
coverage,hut,,,хижина,,
coverage,idea,,,идея,,
coverage,inside,,,внутри,,
coverage,job,,,работа,,
coverage,joke,,,шутка,,
coverage,keep,,,держать,,
coverage,key,,,ключ,,
coverage,kind,,,добрый,,
coverage,kitchen,,,кухня,,
coverage,know,,,знать,,
coverage,known,,,известный,,
coverage,lamp,,,лампа,,
coverage,large,,,большой,,
coverage,last,,,последний,,
coverage,late,,,поздно,,
coverage,laugh,,,смеяться,,
coverage,learnt,,,узнал,,
coverage,least,,,меньше всего,,
coverage,leave,,,уходить,,
coverage,left,,,левый,,
coverage,length,,,длина,,
coverage,less,,,меньше,,
coverage,let,,,позволять,,
coverage,letter,,,письмо,,
coverage,lie,,,лгать/лежать,,
coverage,life,,,жизнь,,
coverage,light,,,свет,,
coverage,like,,,нравиться/как,,
coverage,line,,,линия,,
coverage,list,,,список,,
coverage,listen,,,слушать,,
coverage,little,,,маленький,,
coverage,load,,,загружать,,
coverage,lock,,,запирать,,
coverage,long,,,длинный,,
coverage,look,,,смотреть,,
coverage,lose,,,терять,,
coverage,lost,,,потерянный,,
coverage,lot,,,много,,
coverage,loud,,,громкий,,
coverage,love,,,любить,,
coverage,low,,,низкий,,
coverage,luck,,,удача,,
coverage,machine,,,машина,,
coverage,man,,,мужчина,,
coverage,manage,,,справляться,,
coverage,map,,,карта,,
coverage,mark,,,метка,,
coverage,market,,,рынок,,
coverage,matter,,,иметь значение,,
coverage,maybe,,,может быть,,
coverage,mean,,,значить,,
coverage,meant,,,имел в виду,,
coverage,meet,,,встречать,,
coverage,met,,,встретил,,
coverage,metal,,,металл,,
coverage,mind,,,ум,,
coverage,minute,,,минута,,
coverage,mirror,,,зеркало,,
coverage,miss,,,пропустить,,
coverage,mistake,,,ошибка,,
coverage,mobile,,,мобильный,,
coverage,moment,,,момент,,
coverage,money,,,деньги,,
coverage,month,,,месяц,,
coverage,morning,,,утро,,
coverage,mother,,,мать,,
coverage,move,,,двигать,,
coverage,name,,,имя,,
coverage,narrow,,,узкий,,
coverage,near,,,рядом,,
coverage,neck,,,шея,,
coverage,need,,,нуждаться,,
coverage,never,,,никогда,,
coverage,new,,,новый,,
coverage,next,,,следующий,,
coverage,night,,,ночь,,
coverage,nine,,,девять,,
coverage,nobody,,,никто,,
coverage,normal,,,нормальный,,
coverage,note,,,записка,,
coverage,nothing,,,ничего,,
coverage,notice,,,замечать,,
coverage,now,,,сейчас,,
coverage,nowhere,,,нигде,,
coverage,number,,,номер,,
coverage,odd,,,странный,,
coverage,off,,,выключенный,,
coverage,office,,,офис,,
coverage,old,,,старый,,
coverage,onto,,,на,,
coverage,open,,,открывать,,
coverage,other,,,другой,,
coverage,outside,,,снаружи,,
coverage,own,,,собственный,,
coverage,page,,,страница,,
coverage,paid,,,заплатил,,
coverage,paint,,,краска,,
coverage,pair,,,пара,,
coverage,paper,,,бумага,,
coverage,park,,,парк,,
coverage,part,,,часть,,
coverage,pass,,,проходить,,
coverage,past,,,мимо,,
coverage,pay,,,платить,,
coverage,people,,,люди,,
coverage,perfect,,,идеальный,,
coverage,perhaps,,,возможно,,
coverage,person,,,человек,,
coverage,phone,,,телефон,,
coverage,photo,,,фото,,
coverage,piece,,,кусок,,
coverage,place,,,место,,
coverage,plain,,,простой,,
coverage,plant,,,растение,,
coverage,platform,,,платформа,,
coverage,please,,,пожалуйста,,
coverage,pocket,,,карман,,
coverage,point,,,точка,,
coverage,post,,,почта,,
coverage,print,,,печать,,
coverage,probably,,,вероятно,,
coverage,problem,,,проблема,,
coverage,proof,,,доказательство,,
coverage,prove,,,доказывать,,
coverage,pull,,,тянуть,,
coverage,push,,,толкать,,
coverage,put,,,класть,,
coverage,quarter,,,четверть,,
coverage,question,,,вопрос,,
coverage,quiet,,,тихий,,
coverage,quietly,,,тихо,,
coverage,quite,,,довольно,,
coverage,radio,,,радио,,
coverage,reach,,,достигать,,
coverage,read,,,читать,,
coverage,ready,,,готовый,,
coverage,real,,,настоящий,,
coverage,reason,,,причина,,
coverage,register,,,регистрироваться,,
coverage,rest,,,отдых/остаток,,
coverage,return,,,возвращаться,,
coverage,right,,,правильно,,
coverage,ring,,,звонить,,
coverage,river,,,река,,
coverage,road,,,дорога,,
coverage,room,,,комната,,
coverage,round,,,круглый,,
coverage,rower,,,гребец,,
coverage,rub,,,тереть,,
coverage,run,,,бежать,,
coverage,said,,,сказал,,
coverage,same,,,тот же,,
coverage,sat,,,сел,,
coverage,save,,,спасать/копить,,
coverage,saw,,,увидел,,
coverage,say,,,сказать,,
coverage,second,,,второй,,
coverage,see,,,видеть,,
coverage,seem,,,казаться,,
coverage,sell,,,продавать,,
coverage,send,,,отправлять,,
coverage,sense,,,смысл,,
coverage,sent,,,отправил,,
coverage,set,,,ставить,,
coverage,seven,,,семь,,
coverage,shake,,,трясти,,
coverage,shape,,,форма,,
coverage,share,,,делить,,
coverage,sheet,,,лист,,
coverage,shop,,,магазин,,
coverage,short,,,короткий,,
coverage,shot,,,порция,,
coverage,shoulder,,,плечо,,
coverage,show,,,показывать,,
coverage,shut,,,закрывать,,
coverage,side,,,сторона,,
coverage,sign,,,вывеска,,
coverage,silence,,,тишина,,
coverage,simple,,,простой,,
coverage,since,,,с тех пор,,
coverage,single,,,единственный,,
coverage,sister,,,сестра,,
coverage,sit,,,сидеть,,
coverage,six,,,шесть,,
coverage,sixty,,,шестьдесят,,
coverage,sky,,,небо,,
coverage,sleep,,,спать,,
coverage,slow,,,медленный,,
coverage,small,,,маленький,,
coverage,smart,,,элегантный,,
coverage,smell,,,запах,,
coverage,smile,,,улыбаться,,
coverage,smooth,,,гладкий,,
coverage,soften,,,смягчать,,
coverage,somebody,,,кто-то,,
coverage,someone,,,кто-то,,
coverage,something,,,что-то,,
coverage,somewhere,,,где-то,,
coverage,sorry,,,извините,,
coverage,sort,,,вид,,
coverage,sound,,,звук,,
coverage,spare,,,запасной,,
coverage,speak,,,говорить,,
coverage,spent,,,провёл/потратил,,
coverage,spring,,,весна,,
coverage,square,,,площадь,,
coverage,stairs,,,лестница,,
coverage,stamp,,,марка,,
coverage,stand,,,стоять,,
coverage,start,,,начинать,,
coverage,station,,,вокзал,,
coverage,stay,,,оставаться,,
coverage,step,,,шаг/ступенька,,
coverage,still,,,всё ещё,,
coverage,stone,,,камень,,
coverage,stop,,,останавливаться,,
coverage,story,,,история,,
coverage,straight,,,прямо,,
coverage,strange,,,странный,,
coverage,stranger,,,незнакомец,,
coverage,street,,,улица,,
coverage,strong,,,сильный,,
coverage,suit,,,костюм,,
coverage,sure,,,уверенный,,
coverage,surprise,,,сюрприз,,
coverage,swing,,,качать,,
coverage,table,,,стол,,
coverage,take,,,брать,,
coverage,talk,,,говорить,,
coverage,taxi,,,такси,,
coverage,tea,,,чай,,
coverage,telephone,,,телефон,,
coverage,tell,,,рассказывать,,
coverage,ten,,,десять,,
coverage,thank,,,благодарить,,
coverage,thick,,,толстый,,
coverage,thin,,,тонкий,,
coverage,thing,,,вещь,,
coverage,think,,,думать,,
coverage,third,,,третий,,
coverage,three,,,три,,
coverage,through,,,через,,
coverage,throw,,,бросать,,
coverage,ticket,,,билет,,
coverage,till,,,до,,
coverage,time,,,время,,
coverage,tin,,,жестянка,,
coverage,tip,,,чаевые/кончик,,
coverage,tired,,,усталый,,
coverage,today,,,сегодня,,
coverage,together,,,вместе,,
coverage,told,,,сказал,,
coverage,tomorrow,,,завтра,,
coverage,tonight,,,сегодня вечером,,
coverage,took,,,взял,,
coverage,top,,,верх,,
coverage,total,,,итог,,
coverage,toward,,,к,,
coverage,towel,,,полотенце,,
coverage,train,,,поезд,,
coverage,traveller,,,путешественник,,
coverage,trust,,,доверять,,
coverage,try,,,пытаться,,
coverage,turn,,,поворачивать,,
coverage,twelve,,,двенадцать,,
coverage,twenty,,,двадцать,,
coverage,twice,,,дважды,,
coverage,two,,,два,,
coverage,type,,,тип,,
coverage,understand,,,понимать,,
coverage,until,,,до,,
coverage,upstairs,,,наверху,,
coverage,use,,,использовать,,
