tier,headword,part_of_speech,english_definition,draft_fr,corrected_translation,reviewer_notes
curated,departure,noun,"the act of leaving, especially a train or plane",le départ,,
curated,development,noun,a group of new buildings built together,le complexe immobilier,,
curated,diary,noun,"a book where you write what happens each day, or your plans",le journal / l'agenda,,
curated,dignified,adjective,calm and serious in a way that earns respect,digne,,
curated,disappear,verb,to go out of sight; to stop being there,disparaître,,
curated,docket,noun,a small paper or note that records something,le bon,,
curated,drag,verb,to pull something heavy along,traîner,,
curated,dust,noun,dry dirt like powder that covers things nobody cleans,la poussière,,
curated,dusty,adjective,covered with dust,poussiéreux,,
curated,enormous,adjective,very big,énorme,,
curated,entire,adjective,whole; with no part missing,entier,,
curated,entrance,noun,the door or opening where you go into a place,l'entrée,,
curated,envelope,noun,the paper cover for a letter,l'enveloppe,,
curated,eventual,adjective,"happening in the end, after some time",final,,
curated,evidence,noun,facts or things that show something is true,la preuve,,
curated,exhausted,adjective,very tired,épuisé,,
curated,expense,noun,the money that something costs you,la dépense,,
curated,faded,adjective,with the colour or print gone pale,délavé,,
curated,faint,adjective,weak; not clear or strong,faible,,
curated,fair,adjective,treating people equally and in the right way,juste,,
curated,feet,noun,more than one foot (the parts you stand on),les pieds,,
curated,fence,noun,a wall of wood or wire around a piece of land,la clôture,,
curated,flask,noun,a container that keeps a drink hot or cold,la thermos,,
curated,fold,verb,to bend something so one part lies over another,plier,,
curated,folder,noun,a cover for holding papers together,le dossier,,
curated,forever,adverb,for all time; without ending,pour toujours,,
curated,fortnight,noun,two weeks,quinze jours,,
curated,fox,noun,"a wild animal like a small dog, with red-brown fur",le renard,,
curated,freeze,verb,to become very cold; to stop still suddenly,geler,,
curated,frown,verb,to move your eyebrows down because you are annoyed or thinking,froncer les sourcils,,
curated,furniture,noun,"the tables, chairs and beds in a room",les meubles,,
curated,further,adverb,at or to a greater distance; more,plus loin,,
curated,genuine,adjective,real; not false,authentique,,
curated,glad,adjective,pleased and happy about something,content,,
curated,glance,verb,to look at something quickly,jeter un coup d'œil,,
curated,glow,noun,"a soft, steady light",la lueur,,
curated,gown,noun,a long loose piece of clothing (here: a dressing gown worn at home),la robe de chambre,,
curated,gull,noun,a grey and white sea bird,la mouette,,
curated,gutter,noun,the low edge of a road where rain water runs away,le caniveau,,
curated,halfway,adverb,at or to the middle point,à mi-chemin,,
curated,handle,noun,the part of a door or bag you hold to open or carry it,la poignée,,
curated,haul,verb,to pull or carry something heavy with effort,traîner,,
curated,heavy,adjective,weighing a lot; hard to lift,lourd,,
curated,hoarding,noun,a temporary wooden fence around a building site,la palissade,,
curated,hollow,adjective,empty inside; without real feeling or value,creux,,
curated,hum,verb,"to sing with your lips closed; to make a low, steady sound",fredonner,,
curated,identical,adjective,exactly the same,identique,,
curated,idle,verb,(of an engine) to run gently while the vehicle waits,tourner au ralenti,,
curated,immediate,adjective,"happening at once, with no delay",immédiat,,
curated,improve,verb,to become or make better,améliorer,,
curated,information,noun,facts you are told or that help you know something,l'information,,
curated,inner,adjective,on the inside; further in,intérieur,,
curated,intact,adjective,not damaged; complete,intact,,
curated,interrupt,verb,to stop someone by speaking or acting in the middle,interrompre,,
curated,interview,noun,a meeting where a company asks you questions about a job,l'entretien,,
curated,invitation,noun,a spoken or written offer to come somewhere,l'invitation,,
curated,kerb,noun,the raised edge between a pavement and a road,le bord du trottoir,,
curated,kettle,noun,a container for boiling water,la bouilloire,,
curated,kiosk,noun,"a very small shop on a street that sells newspapers, drinks and small things",le kiosque,,
curated,label,noun,"a small piece of paper or plastic on a thing, with writing on it",l'étiquette,,
curated,launderette,noun,a shop with machines where you pay to wash clothes,la laverie,,
curated,layout,noun,the way the parts of something are arranged,la disposition,,
curated,lean,verb,"to rest against something, or to bend your body",s'appuyer / se pencher,,
curated,letterhead,noun,the printed name and address at the top of a firm's paper,l'en-tête,,
curated,lobby,noun,the open area just inside the entrance of a building,le hall,,
curated,lone,adjective,single; on its own,solitaire,,
curated,luggage,noun,the bags and cases you take when you travel,les bagages,,
curated,lunchtime,noun,the time in the middle of the day when people eat lunch,l'heure du déjeuner,,
curated,mattress,noun,the soft part of a bed you lie on,le matelas,,
curated,midnight,noun,twelve o'clock at night,minuit,,
curated,murmur,verb,"to say something in a low, soft voice",murmurer,,
curated,napkin,noun,a small piece of cloth or paper for your mouth and hands at a meal,la serviette,,
curated,natural,adjective,normal; as expected; not made by people,naturel,,
curated,navigate,verb,to find your way from one place to another,se repérer,,
curated,necessary,adjective,needed; that you must have or do,nécessaire,,
curated,neither,determiner,not one and not the other of two,ni l'un ni l'autre,,
curated,nerve,noun,the courage to do something difficult,le cran,,
curated,newsstand,noun,a small stall that sells newspapers,le kiosque à journaux,,
curated,nod,verb,to move your head down and up to mean yes,hocher la tête,,
curated,oar,noun,a long pole with a flat end for rowing a boat,la rame,,
curated,obvious,adjective,easy to see or understand,évident,,
curated,ordinary,adjective,normal; not special,ordinaire,,
curated,original,adjective,"first; the earliest, before any change",d'origine,,
curated,otherwise,adverb,if not; in a different way,sinon,,
curated,ought,verb,should; used to say the right thing to do (ought to),devoir (on devrait),,
curated,overhear,verb,to hear what others say without them knowing,surprendre une conversation,,
curated,pale,adjective,light in colour; (of a face) with little colour,pâle,,
curated,panel,noun,"a flat piece of wood, glass or metal",le panneau,,
curated,particular,adjective,"one special one, not any other",particulier,,
curated,patience,noun,the calm you keep while waiting or through trouble,la patience,,
curated,pause,verb,to stop for a short time before going on,faire une pause,,
curated,pavement,noun,the hard path at the side of a road for people to walk on,le trottoir,,
curated,photograph,noun,a picture made with a camera,la photo,,
curated,pity,noun,a sad feeling for someone else's trouble,la pitié,,
curated,pointed,adjective,said in a sharp way to make a clear point,incisif,,
curated,pour,verb,to make a liquid flow out of a container,verser,,
curated,precise,adjective,exact and clear,précis,,
curated,pretend,verb,to act as if something is true when it is not,faire semblant,,
curated,proper,adjective,real and correct; of the right kind,vrai / correct,,
curated,proud,adjective,pleased with yourself; or too sure of your own worth,fier,,
curated,punctual,adjective,arriving exactly on time,ponctuel,,
curated,quay,noun,a hard flat place next to water where boats stop; said like KEY,le quai,,
curated,queue,noun,a line of people waiting for something,la file d'attente,,
curated,radiator,noun,a metal heater on a wall that warms a room,le radiateur,,
curated,rather,adverb,quite; to a fairly large degree,plutôt,,
curated,realise,verb,to suddenly understand something,se rendre compte,,
curated,reasonable,adjective,fair and sensible; not too much,raisonnable,,
curated,receipt,noun,a small paper that shows you paid for something; said like ri-SEET,le reçu,,
curated,reception,noun,the desk near the door of a building where visitors go first,la réception,,
curated,receptionist,noun,the person who works at the reception desk,le/la réceptionniste,,
curated,recognise,verb,to know someone or something because you have seen it before,reconnaître,,
curated,reference,noun,a number or word used to find something on a list,la référence,,
curated,refuse,verb,to say firmly that you will not do or accept something,refuser,,
curated,regardless,adverb,in spite of everything; without caring about it,malgré tout,,
curated,registration,noun,the act of putting your name on an official list,l'inscription,,
curated,regular,noun,a customer who comes to a place often,l'habitué,,
curated,rehearse,verb,to practise words or actions before doing them,répéter,,
curated,reliable,adjective,that you can trust to work or be right,fiable,,
curated,reserve,verb,to keep something for later or for a certain person,réserver,,
curated,restful,adjective,calm and peaceful; giving rest,reposant,,
curated,rucksack,noun,a bag you carry on your back,le sac à dos,,
curated,scrap,noun,"a small piece of something, especially paper",le bout,,
curated,scrape,verb,to rub against a surface with a rough sound,racler,,
curated,screen,noun,the flat part of a phone or computer that shows pictures and words,l'écran,,
curated,sensible,adjective,showing good judgement; wise,sensé,,
curated,settle,verb,to sit or rest comfortably; to sort something out,s'installer,,
curated,shrug,verb,to raise your shoulders to show you don't know or care,hausser les épaules,,
curated,shutter,noun,a metal or wooden cover that closes over a window or shop,le rideau métallique,,
curated,shuttered,adjective,closed with a metal or wooden cover,aux volets fermés,,
curated,sigh,verb,"to let out a long breath, often when tired or sad",soupirer,,
curated,signature,noun,your name written in your own way to sign something,la signature,,
curated,sinister,adjective,seeming evil or that something bad will happen,sinistre,,
curated,sleeve,noun,the part of clothing that covers your arm,la manche,,
curated,slide,verb,to move smoothly along a surface,glisser,,
curated,somehow,adverb,in a way you do not know or cannot explain,d'une manière ou d'une autre,,
curated,stack,verb,to put things one on top of another,empiler,,
curated,stall,noun,a small open shop or table in a market,l'étal,,
curated,standard,adjective,normal and usual; the ordinary kind,standard,,
curated,stark,adjective,"plain and clear, often in a harsh way",cru,,
curated,steady,adjective,firm and not shaking; regular,stable,,
curated,steam,noun,the hot white gas that comes off boiling water,la vapeur,,
curated,steel,noun,a strong hard metal made mostly of iron,l'acier,,
curated,strap,noun,a narrow band of leather or cloth for carrying or fastening,la sangle,,
curated,streetlight,noun,a tall lamp that lights a street at night,le lampadaire,,
curated,suppose,verb,to think something is probably true,supposer,,
curated,survive,verb,to stay alive or keep existing through a hard time,survivre,,
curated,suspect,verb,"to think something is probably true, without being sure",soupçonner,,
curated,swindle,noun,a clever trick to take someone's money,l'arnaque,,
curated,switch,verb,to change from one thing to another; to turn on or off,changer / éteindre,,
curated,tape,verb,to stick something using sticky tape,scotcher,,
curated,thread,noun,a thin line of something; the line of an idea,le fil,,
curated,tiny,adjective,extremely small,minuscule,,
curated,torn,adjective,pulled apart or damaged; ripped,déchiré,,
curated,tray,noun,a flat object for carrying or holding things,le plateau,,
curated,trot,verb,"to move at a quick, light run",trotter,,
curated,truth,noun,what is really true,la vérité,,
curated,unfamiliar,adjective,not known to you,inconnu,,
curated,unkind,adjective,not kind; a little cruel,méchant,,
curated,update,verb,to add the newest information to something,mettre à jour,,
curated,useless,adjective,of no use; not working,inutile,,
curated,van,noun,a covered vehicle for carrying goods,la camionnette,,
curated,vanish,verb,to disappear suddenly and completely,disparaître,,
curated,vast,adjective,extremely large in size or amount,vaste,,
curated,vehicle,noun,a machine such as a car or van that carries people or goods,le véhicule,,
curated,visible,adjective,that can be seen,visible,,
curated,warmth,noun,the quality of being warm; gentle heat,la chaleur,,
curated,waste,verb,"to use time or money badly, for nothing",gaspiller,,
curated,watchman,noun,"a person who guards a building, especially at night",le gardien,,
curated,wave,verb,to move your hand to say hello or goodbye,faire signe de la main,,
curated,weed,noun,a wild plant growing where it is not wanted,la mauvaise herbe,,
curated,weep,verb,to cry,pleurer,,
curated,whoever,pronoun,any person who; the person who,quiconque,,
curated,windscreen,noun,the big glass window at the front of a car,le pare-brise,,
curated,within,preposition,inside; before the end of a period,à l'intérieur de / en moins de,,
curated,wrap,verb,to put something around another thing to cover it,envelopper,,
coverage,able,,,capable,,
coverage,about,,,à propos de,,
coverage,above,,,au-dessus,,
coverage,accident,,,l'accident,,
coverage,across,,,à travers,,
coverage,add,,,ajouter,,
coverage,address,,,l'adresse,,
coverage,advice,,,le conseil,,
coverage,against,,,contre,,
coverage,ago,,,il y a,,
coverage,air,,,l'air,,
coverage,almost,,,presque,,
coverage,alone,,,seul,,
coverage,along,,,le long de,,
coverage,already,,,déjà,,
coverage,always,,,toujours,,
coverage,another,,,un autre,,
coverage,answer,,,répondre,,
coverage,anyone,,,n'importe qui,,
coverage,anything,,,n'importe quoi,,
coverage,anywhere,,,n'importe où,,
coverage,around,,,autour,,
coverage,arrive,,,arriver,,
coverage,ask,,,demander,,
coverage,away,,,loin,,
coverage,back,,,en arrière,,
coverage,bag,,,le sac,,
coverage,bank,,,la banque/la berge,,
coverage,bar,,,le bar,,
coverage,bed,,,le lit,,
coverage,begin,,,commencer,,
coverage,begun,,,commencé,,
coverage,behind,,,derrière,,
coverage,believe,,,croire,,
coverage,belong,,,appartenir,,
coverage,below,,,en dessous,,
coverage,beneath,,,sous,,
coverage,beside,,,à côté de,,
coverage,best,,,le meilleur,,
coverage,better,,,meilleur,,
coverage,big,,,grand,,
coverage,black,,,noir,,
coverage,board,,,le tableau,,
coverage,book,,,le livre,,
coverage,both,,,les deux,,
coverage,bottom,,,le bas,,
coverage,breakfast,,,le petit-déjeuner,,
coverage,bridge,,,le pont,,
coverage,bright,,,lumineux,,
coverage,brother,,,le frère,,
coverage,brought,,,a apporté,,
coverage,building,,,le bâtiment,,
coverage,burn,,,brûler,,
coverage,bus,,,le bus,,
coverage,business,,,l'affaire,,
coverage,cab,,,le taxi,,
coverage,cafe,,,le café,,
coverage,call,,,appeler,,
coverage,calm,,,calme,,
coverage,came,,,est venu,,
coverage,cannot,,,ne peut pas,,
coverage,cap,,,la casquette,,
coverage,car,,,la voiture,,
coverage,card,,,la carte,,
coverage,care,,,le soin/se soucier,,
coverage,careful,,,prudent,,
coverage,carry,,,porter,,
coverage,case,,,le cas,,
coverage,catch,,,attraper,,
coverage,certain,,,certain,,
coverage,chair,,,la chaise,,
coverage,chance,,,la chance,,
coverage,change,,,changer,,
coverage,circle,,,le cercle,,
coverage,city,,,la ville,,
coverage,clean,,,propre,,
coverage,clear,,,clair,,
coverage,climb,,,grimper,,
coverage,clock,,,l'horloge,,
coverage,close,,,fermer,,
coverage,cloth,,,le tissu,,
coverage,coat,,,le manteau,,
coverage,coffee,,,le café,,
coverage,cold,,,froid,,
coverage,collar,,,le col,,
coverage,colour,,,la couleur,,
coverage,come,,,venir,,
coverage,comfortable,,,confortable,,
coverage,company,,,l'entreprise,,
coverage,complete,,,complet,,
coverage,corner,,,le coin,,
coverage,cost,,,coûter,,
coverage,count,,,compter,,
coverage,counter,,,le comptoir,,
coverage,country,,,le pays,,
coverage,course,,,le cours,,
coverage,cross,,,traverser,,
coverage,cup,,,la tasse,,
coverage,dad,,,le papa,,
coverage,dark,,,sombre,,
coverage,date,,,la date,,
coverage,dawn,,,l'aube,,
coverage,day,,,le jour,,
coverage,dead,,,mort,,
coverage,deal,,,l'accord,,
coverage,decide,,,décider,,
coverage,degree,,,le degré,,
coverage,delivery,,,la livraison,,
coverage,desk,,,le bureau,,
coverage,direction,,,la direction,,
coverage,door,,,la porte,,
coverage,draw,,,dessiner,,
coverage,dress,,,la robe,,
coverage,drive,,,conduire,,
coverage,driver,,,le chauffeur,,
coverage,dying,,,mourant,,
coverage,early,,,tôt,,
coverage,easy,,,facile,,
coverage,edge,,,le bord,,
coverage,eight,,,huit,,
coverage,either,,,l'un ou l'autre,,
coverage,eleven,,,onze,,
coverage,else,,,autre,,
coverage,empty,,,vide,,
coverage,end,,,la fin,,
coverage,engine,,,le moteur,,
coverage,enough,,,assez,,
coverage,even,,,même,,
coverage,everybody,,,tout le monde,,
coverage,everyone,,,tout le monde,,
coverage,everything,,,tout,,
coverage,everywhere,,,partout,,
coverage,exactly,,,exactement,,
coverage,except,,,sauf,,
coverage,exit,,,la sortie,,
coverage,expect,,,s'attendre à,,
coverage,explain,,,expliquer,,
coverage,extra,,,supplémentaire,,
coverage,eye,,,l'œil,,
coverage,face,,,le visage,,
coverage,fact,,,le fait,,
coverage,far,,,loin,,
coverage,fast,,,rapide,,
coverage,father,,,le père,,
coverage,feel,,,sentir,,
coverage,figure,,,la silhouette,,
coverage,final,,,final,,
coverage,find,,,trouver,,
coverage,finger,,,le doigt,,
coverage,finish,,,finir,,
coverage,first,,,premier,,
coverage,five,,,cinq,,
coverage,fix,,,réparer,,
coverage,flat,,,l'appartement/plat,,
coverage,floor,,,le sol/l'étage,,
coverage,follow,,,suivre,,
coverage,foot,,,le pied,,
coverage,force,,,la force/forcer,,
coverage,forgotten,,,oublié,,
coverage,form,,,le formulaire,,
coverage,found,,,a trouvé,,
coverage,four,,,quatre,,
coverage,fourth,,,quatrième,,
coverage,free,,,libre/gratuit,,
coverage,front,,,le devant,,
coverage,full,,,plein,,
coverage,gap,,,l'écart,,
coverage,gate,,,le portail,,
coverage,gather,,,rassembler,,
coverage,get,,,obtenir,,
coverage,girl,,,la fille,,
coverage,give,,,donner,,
coverage,glass,,,le verre,,
coverage,go,,,aller,,
coverage,gone,,,parti,,
coverage,good,,,bon,,
coverage,got,,,a obtenu,,
coverage,great,,,formidable,,
coverage,green,,,vert,,
coverage,grey,,,gris,,
coverage,grow,,,grandir,,
coverage,guard,,,le gardien,,
coverage,guess,,,deviner,,
coverage,half,,,la moitié,,
coverage,hall,,,le hall,,
coverage,hand,,,la main,,
coverage,happen,,,se passer,,
coverage,hard,,,dur,,
coverage,hate,,,détester,,
coverage,head,,,la tête,,
coverage,hear,,,entendre,,
coverage,heard,,,a entendu,,
coverage,heart,,,le cœur,,
coverage,heater,,,le chauffage,,
coverage,help,,,aider,,
coverage,hidden,,,caché,,
coverage,high,,,haut,,
coverage,hire,,,embaucher,,
coverage,hold,,,tenir,,
coverage,home,,,la maison,,
coverage,honest,,,honnête,,
coverage,hope,,,espérer,,
coverage,hot,,,chaud,,
coverage,hotel,,,l'hôtel,,
coverage,hour,,,l'heure,,
coverage,hundred,,,cent,,
coverage,hurry,,,se dépêcher,,
coverage,hurt,,,faire mal,,
coverage,hut,,,la cabane,,
coverage,idea,,,l'idée,,
coverage,inside,,,à l'intérieur,,
coverage,job,,,l'emploi,,
coverage,joke,,,la blague,,
coverage,keep,,,garder,,
coverage,key,,,la clé,,
coverage,kind,,,gentil,,
coverage,kitchen,,,la cuisine,,
coverage,know,,,savoir,,
coverage,known,,,connu,,
coverage,lamp,,,la lampe,,
coverage,large,,,grand,,
coverage,last,,,dernier,,
coverage,late,,,tard,,
coverage,laugh,,,rire,,
coverage,learnt,,,a appris,,
coverage,least,,,le moins,,
coverage,leave,,,partir,,
coverage,left,,,gauche,,
coverage,length,,,la longueur,,
coverage,less,,,moins,,
coverage,let,,,laisser,,
coverage,letter,,,la lettre,,
coverage,lie,,,mentir/s'allonger,,
coverage,life,,,la vie,,
coverage,light,,,la lumière,,
coverage,like,,,aimer/comme,,
coverage,line,,,la ligne,,
coverage,list,,,la liste,,
coverage,listen,,,écouter,,
coverage,little,,,petit,,
coverage,load,,,charger,,
coverage,lock,,,verrouiller,,
coverage,long,,,long,,
coverage,look,,,regarder,,
coverage,lose,,,perdre,,
coverage,lost,,,perdu,,
coverage,lot,,,beaucoup,,
coverage,loud,,,fort,,
coverage,love,,,aimer,,
coverage,low,,,bas,,
coverage,luck,,,la chance,,
coverage,machine,,,la machine,,
coverage,man,,,l'homme,,
coverage,manage,,,gérer/réussir,,
coverage,map,,,la carte,,
coverage,mark,,,la marque,,
coverage,market,,,le marché,,
coverage,matter,,,importer,,
coverage,maybe,,,peut-être,,
coverage,mean,,,vouloir dire,,
coverage,meant,,,voulait dire,,
coverage,meet,,,rencontrer,,
coverage,met,,,a rencontré,,
coverage,metal,,,le métal,,
coverage,mind,,,l'esprit,,
coverage,minute,,,la minute,,
coverage,mirror,,,le miroir,,
coverage,miss,,,manquer,,
coverage,mistake,,,l'erreur,,
coverage,mobile,,,le portable,,
coverage,moment,,,le moment,,
coverage,money,,,l'argent,,
coverage,month,,,le mois,,
coverage,morning,,,le matin,,
coverage,mother,,,la mère,,
coverage,move,,,bouger,,
coverage,name,,,le nom,,
coverage,narrow,,,étroit,,
coverage,near,,,près de,,
coverage,neck,,,le cou,,
coverage,need,,,avoir besoin de,,
coverage,never,,,jamais,,
coverage,new,,,nouveau,,
coverage,next,,,prochain,,
coverage,night,,,la nuit,,
coverage,nine,,,neuf,,
coverage,nobody,,,personne,,
coverage,normal,,,normal,,
coverage,note,,,la note,,
coverage,nothing,,,rien,,
coverage,notice,,,remarquer,,
coverage,now,,,maintenant,,
coverage,nowhere,,,nulle part,,
coverage,number,,,le numéro,,
coverage,odd,,,étrange,,
coverage,off,,,éteint/hors,,
coverage,office,,,le bureau,,
coverage,old,,,vieux,,
coverage,onto,,,sur,,
coverage,open,,,ouvrir,,
coverage,other,,,autre,,
coverage,outside,,,dehors,,
coverage,own,,,propre,,
coverage,page,,,la page,,
coverage,paid,,,a payé,,
coverage,paint,,,la peinture,,
coverage,pair,,,la paire,,
coverage,paper,,,le papier,,
coverage,park,,,le parc,,
coverage,part,,,la partie,,
coverage,pass,,,passer,,
coverage,past,,,passé,,
coverage,pay,,,payer,,
coverage,people,,,les gens,,
coverage,perfect,,,parfait,,
coverage,perhaps,,,peut-être,,
coverage,person,,,la personne,,
coverage,phone,,,le téléphone,,
coverage,photo,,,la photo,,
coverage,piece,,,le morceau,,
coverage,place,,,l'endroit,,
coverage,plain,,,simple,,
coverage,plant,,,la plante,,
coverage,platform,,,le quai,,
coverage,please,,,s'il vous plaît,,
coverage,pocket,,,la poche,,
coverage,point,,,le point,,
coverage,post,,,le courrier,,
coverage,print,,,imprimer,,
coverage,probably,,,probablement,,
coverage,problem,,,le problème,,
coverage,proof,,,la preuve,,
coverage,prove,,,prouver,,
coverage,pull,,,tirer,,
coverage,push,,,pousser,,
coverage,put,,,mettre,,
coverage,quarter,,,le quart,,
coverage,question,,,la question,,
coverage,quiet,,,calme,,
coverage,quietly,,,doucement,,
coverage,quite,,,assez,,
coverage,radio,,,la radio,,
coverage,reach,,,atteindre,,
coverage,read,,,lire,,
coverage,ready,,,prêt,,
coverage,real,,,vrai,,
coverage,reason,,,la raison,,
coverage,register,,,s'inscrire,,
coverage,rest,,,le repos/le reste,,
coverage,return,,,revenir,,
coverage,right,,,droite/juste,,
coverage,ring,,,sonner,,
coverage,river,,,la rivière,,
coverage,road,,,la route,,
coverage,room,,,la chambre,,
coverage,round,,,rond/autour,,
coverage,rower,,,le rameur,,
coverage,rub,,,frotter,,
coverage,run,,,courir,,
coverage,said,,,dit,,
coverage,same,,,même,,
coverage,sat,,,s'est assis,,
coverage,save,,,sauver/économiser,,
coverage,saw,,,a vu,,
coverage,say,,,dire,,
coverage,second,,,deuxième,,
coverage,see,,,voir,,
coverage,seem,,,sembler,,
coverage,sell,,,vendre,,
coverage,send,,,envoyer,,
coverage,sense,,,le sens,,
coverage,sent,,,a envoyé,,
coverage,set,,,poser,,
coverage,seven,,,sept,,
coverage,shake,,,secouer,,
coverage,shape,,,la forme,,
coverage,share,,,partager,,
coverage,sheet,,,la feuille,,
coverage,shop,,,le magasin,,
coverage,short,,,court,,
coverage,shot,,,le coup/le shot,,
coverage,shoulder,,,l'épaule,,
coverage,show,,,montrer,,
coverage,shut,,,fermer,,
coverage,side,,,le côté,,
coverage,sign,,,le panneau,,
coverage,silence,,,le silence,,
coverage,simple,,,simple,,
coverage,since,,,depuis,,
coverage,single,,,seul,,
coverage,sister,,,la sœur,,
coverage,sit,,,s'asseoir,,
coverage,six,,,six,,
coverage,sixty,,,soixante,,
coverage,sky,,,le ciel,,
coverage,sleep,,,dormir,,
coverage,slow,,,lent,,
coverage,small,,,petit,,
coverage,smart,,,élégant,,
coverage,smell,,,l'odeur,,
coverage,smile,,,sourire,,
coverage,smooth,,,lisse,,
coverage,soften,,,adoucir,,
coverage,somebody,,,quelqu'un,,
coverage,someone,,,quelqu'un,,
coverage,something,,,quelque chose,,
coverage,somewhere,,,quelque part,,
coverage,sorry,,,désolé,,
coverage,sort,,,la sorte,,
coverage,sound,,,le son,,
coverage,spare,,,de rechange,,
coverage,speak,,,parler,,
coverage,spent,,,a passé/dépensé,,
coverage,spring,,,le printemps,,
coverage,square,,,la place,,
coverage,stairs,,,l'escalier,,
coverage,stamp,,,le timbre,,
coverage,stand,,,se tenir debout,,
coverage,start,,,commencer,,
coverage,station,,,la gare,,
coverage,stay,,,rester,,
coverage,step,,,le pas/la marche,,
coverage,still,,,encore,,
coverage,stone,,,la pierre,,
coverage,stop,,,arrêter,,
coverage,story,,,l'histoire,,
coverage,straight,,,droit,,
coverage,strange,,,étrange,,
coverage,stranger,,,l'inconnu,,
coverage,street,,,la rue,,
coverage,strong,,,fort,,
coverage,suit,,,le costume,,
coverage,sure,,,sûr,,
coverage,surprise,,,la surprise,,
coverage,swing,,,balancer,,
coverage,table,,,la table,,
coverage,take,,,prendre,,
coverage,talk,,,parler,,
coverage,taxi,,,le taxi,,
coverage,tea,,,le thé,,
coverage,telephone,,,le téléphone,,
coverage,tell,,,dire,,
coverage,ten,,,dix,,
coverage,thank,,,remercier,,
coverage,thick,,,épais,,
coverage,thin,,,mince,,
coverage,thing,,,la chose,,
coverage,think,,,penser,,
coverage,third,,,troisième,,
coverage,three,,,trois,,
coverage,through,,,à travers,,
coverage,throw,,,jeter,,
coverage,ticket,,,le billet,,
coverage,till,,,jusqu'à,,
coverage,time,,,le temps,,
coverage,tin,,,la boîte/l'étain,,
coverage,tip,,,le pourboire/le bout,,
coverage,tired,,,fatigué,,
coverage,today,,,aujourd'hui,,
coverage,together,,,ensemble,,
coverage,told,,,a dit,,
