tier,headword,part_of_speech,english_definition,draft_ar,corrected_translation,reviewer_notes
curated,furniture,noun,"the tables, chairs and beds in a room",أثاث,,
curated,further,adverb,at or to a greater distance; more,أبعد,,
curated,genuine,adjective,real; not false,حقيقي,,
curated,glad,adjective,pleased and happy about something,سعيد,,
curated,glance,verb,to look at something quickly,يلمح,,
curated,glow,noun,"a soft, steady light",توهج,,
curated,gown,noun,a long loose piece of clothing (here: a dressing gown worn at home),رداء,,
curated,gull,noun,a grey and white sea bird,نورس,,
curated,gutter,noun,the low edge of a road where rain water runs away,مجرى الماء,,
curated,halfway,adverb,at or to the middle point,في منتصف الطريق,,
curated,handle,noun,the part of a door or bag you hold to open or carry it,مقبض,,
curated,haul,verb,to pull or carry something heavy with effort,يجر,,
curated,heavy,adjective,weighing a lot; hard to lift,ثقيل,,
curated,hoarding,noun,a temporary wooden fence around a building site,سياج مؤقت,,
curated,hollow,adjective,empty inside; without real feeling or value,أجوف,,
curated,hum,verb,"to sing with your lips closed; to make a low, steady sound",يدندن,,
curated,identical,adjective,exactly the same,متطابق,,
curated,idle,verb,(of an engine) to run gently while the vehicle waits,يعمل في وضع الخمول,,
curated,immediate,adjective,"happening at once, with no delay",فوري,,
curated,improve,verb,to become or make better,يحسن,,
curated,information,noun,facts you are told or that help you know something,معلومات,,
curated,inner,adjective,on the inside; further in,داخلي,,
curated,intact,adjective,not damaged; complete,سليم,,
curated,interrupt,verb,to stop someone by speaking or acting in the middle,يقاطع,,
curated,interview,noun,a meeting where a company asks you questions about a job,مقابلة عمل,,
curated,invitation,noun,a spoken or written offer to come somewhere,دعوة,,
curated,kerb,noun,the raised edge between a pavement and a road,حافة الرصيف,,
curated,kettle,noun,a container for boiling water,غلاية,,
curated,kiosk,noun,"a very small shop on a street that sells newspapers, drinks and small things",كشك,,
curated,label,noun,"a small piece of paper or plastic on a thing, with writing on it",بطاقة,,
curated,launderette,noun,a shop with machines where you pay to wash clothes,مغسلة,,
curated,layout,noun,the way the parts of something are arranged,تخطيط,,
curated,lean,verb,"to rest against something, or to bend your body",يتكئ / ينحني,,
curated,letterhead,noun,the printed name and address at the top of a firm's paper,ترويسة الرسالة,,
curated,lobby,noun,the open area just inside the entrance of a building,بهو,,
curated,lone,adjective,single; on its own,وحيد,,
curated,luggage,noun,the bags and cases you take when you travel,أمتعة,,
curated,lunchtime,noun,the time in the middle of the day when people eat lunch,وقت الغداء,,
curated,mattress,noun,the soft part of a bed you lie on,مرتبة,,
curated,midnight,noun,twelve o'clock at night,منتصف الليل,,
curated,murmur,verb,"to say something in a low, soft voice",يتمتم,,
curated,napkin,noun,a small piece of cloth or paper for your mouth and hands at a meal,منديل,,
curated,natural,adjective,normal; as expected; not made by people,طبيعي,,
curated,navigate,verb,to find your way from one place to another,يتنقل,,
curated,necessary,adjective,needed; that you must have or do,ضروري,,
curated,neither,determiner,not one and not the other of two,لا هذا ولا ذاك,,
curated,nerve,noun,the courage to do something difficult,جرأة,,
curated,newsstand,noun,a small stall that sells newspapers,كشك جرائد,,
curated,nod,verb,to move your head down and up to mean yes,يومئ برأسه,,
curated,oar,noun,a long pole with a flat end for rowing a boat,مجداف,,
curated,obvious,adjective,easy to see or understand,واضح,,
curated,ordinary,adjective,normal; not special,عادي,,
curated,original,adjective,"first; the earliest, before any change",أصلي,,
curated,otherwise,adverb,if not; in a different way,وإلا,,
curated,ought,verb,should; used to say the right thing to do (ought to),ينبغي,,
curated,overhear,verb,to hear what others say without them knowing,يسمع مصادفةً,,
curated,pale,adjective,light in colour; (of a face) with little colour,شاحب,,
curated,panel,noun,"a flat piece of wood, glass or metal",لوح,,
curated,particular,adjective,"one special one, not any other",معين,,
curated,patience,noun,the calm you keep while waiting or through trouble,صبر,,
curated,pause,verb,to stop for a short time before going on,يتوقف مؤقتا,,
curated,pavement,noun,the hard path at the side of a road for people to walk on,رصيف,,
curated,photograph,noun,a picture made with a camera,صورة,,
curated,pity,noun,a sad feeling for someone else's trouble,شفقة,,
curated,pointed,adjective,said in a sharp way to make a clear point,لاذع,,
curated,pour,verb,to make a liquid flow out of a container,يصب,,
curated,precise,adjective,exact and clear,دقيق,,
curated,pretend,verb,to act as if something is true when it is not,يتظاهر,,
curated,proper,adjective,real and correct; of the right kind,لائق,,
curated,proud,adjective,pleased with yourself; or too sure of your own worth,فخور,,
curated,punctual,adjective,arriving exactly on time,دقيق المواعيد,,
curated,quay,noun,a hard flat place next to water where boats stop; said like KEY,رصيف الميناء,,
curated,queue,noun,a line of people waiting for something,طابور,,
curated,radiator,noun,a metal heater on a wall that warms a room,مشعاع,,
curated,rather,adverb,quite; to a fairly large degree,إلى حد ما,,
curated,realise,verb,to suddenly understand something,يدرك,,
curated,reasonable,adjective,fair and sensible; not too much,معقول,,
curated,receipt,noun,a small paper that shows you paid for something; said like ri-SEET,إيصال,,
curated,reception,noun,the desk near the door of a building where visitors go first,الاستقبال,,
curated,receptionist,noun,the person who works at the reception desk,موظف الاستقبال,,
curated,recognise,verb,to know someone or something because you have seen it before,يتعرف على,,
curated,reference,noun,a number or word used to find something on a list,رقم مرجعي,,
curated,refuse,verb,to say firmly that you will not do or accept something,يرفض,,
curated,regardless,adverb,in spite of everything; without caring about it,بغض النظر,,
curated,registration,noun,the act of putting your name on an official list,تسجيل,,
curated,regular,noun,a customer who comes to a place often,زبون دائم,,
curated,rehearse,verb,to practise words or actions before doing them,يتدرّب,,
curated,reliable,adjective,that you can trust to work or be right,موثوق,,
curated,reserve,verb,to keep something for later or for a certain person,يحجز,,
curated,restful,adjective,calm and peaceful; giving rest,مريح,,
curated,rucksack,noun,a bag you carry on your back,حقيبة ظهر,,
curated,scrap,noun,"a small piece of something, especially paper",قصاصة,,
curated,scrape,verb,to rub against a surface with a rough sound,يكشط,,
curated,screen,noun,the flat part of a phone or computer that shows pictures and words,شاشة,,
curated,sensible,adjective,showing good judgement; wise,عاقل,,
curated,settle,verb,to sit or rest comfortably; to sort something out,يستقر,,
curated,shrug,verb,to raise your shoulders to show you don't know or care,يهز كتفيه,,
curated,shutter,noun,a metal or wooden cover that closes over a window or shop,مصراع,,
curated,shuttered,adjective,closed with a metal or wooden cover,مغلق بالمصاريع,,
curated,sigh,verb,"to let out a long breath, often when tired or sad",يتنهد,,
curated,signature,noun,your name written in your own way to sign something,توقيع,,
curated,sinister,adjective,seeming evil or that something bad will happen,مشؤوم,,
curated,sleeve,noun,the part of clothing that covers your arm,كم,,
curated,slide,verb,to move smoothly along a surface,ينزلق,,
curated,somehow,adverb,in a way you do not know or cannot explain,بطريقة ما,,
curated,stack,verb,to put things one on top of another,يكدّس,,
curated,stall,noun,a small open shop or table in a market,بسطة,,
curated,standard,adjective,normal and usual; the ordinary kind,قياسي,,
curated,stark,adjective,"plain and clear, often in a harsh way",صارخ,,
curated,steady,adjective,firm and not shaking; regular,ثابت,,
curated,steam,noun,the hot white gas that comes off boiling water,بخار,,
curated,steel,noun,a strong hard metal made mostly of iron,فولاذ,,
curated,strap,noun,a narrow band of leather or cloth for carrying or fastening,حزام,,
curated,streetlight,noun,a tall lamp that lights a street at night,مصباح الشارع,,
curated,suppose,verb,to think something is probably true,يفترض,,
curated,survive,verb,to stay alive or keep existing through a hard time,ينجو,,
curated,suspect,verb,"to think something is probably true, without being sure",يشتبه,,
curated,swindle,noun,a clever trick to take someone's money,احتيال,,
curated,switch,verb,to change from one thing to another; to turn on or off,يبدل,,
curated,tape,verb,to stick something using sticky tape,يلصق بشريط,,
curated,thread,noun,a thin line of something; the line of an idea,خيط,,
curated,tiny,adjective,extremely small,ضئيل,,
curated,torn,adjective,pulled apart or damaged; ripped,ممزق,,
curated,tray,noun,a flat object for carrying or holding things,صينية,,
curated,trot,verb,"to move at a quick, light run",يهرول,,
curated,truth,noun,what is really true,الحقيقة,,
curated,unfamiliar,adjective,not known to you,غير مألوف,,
curated,unkind,adjective,not kind; a little cruel,قاسٍ,,
curated,update,verb,to add the newest information to something,يحدث,,
curated,useless,adjective,of no use; not working,عديم الفائدة,,
curated,van,noun,a covered vehicle for carrying goods,شاحنة صغيرة,,
curated,vanish,verb,to disappear suddenly and completely,يتلاشى,,
curated,vast,adjective,extremely large in size or amount,شاسع,,
curated,vehicle,noun,a machine such as a car or van that carries people or goods,مركبة,,
curated,visible,adjective,that can be seen,مرئي,,
curated,warmth,noun,the quality of being warm; gentle heat,دفء,,
curated,waste,verb,"to use time or money badly, for nothing",يهدر,,
curated,watchman,noun,"a person who guards a building, especially at night",حارس,,
curated,wave,verb,to move your hand to say hello or goodbye,يلوّح,,
curated,weed,noun,a wild plant growing where it is not wanted,عشب ضار,,
curated,weep,verb,to cry,يبكي,,
curated,whoever,pronoun,any person who; the person who,أيا كان,,
curated,windscreen,noun,the big glass window at the front of a car,الزجاج الأمامي,,
curated,within,preposition,inside; before the end of a period,خلال,,
curated,wrap,verb,to put something around another thing to cover it,يلفّ,,
coverage,able,,,قادر,,
coverage,about,,,حول,,
coverage,above,,,فوق,,
coverage,accident,,,حادث,,
coverage,across,,,عبر,,
coverage,add,,,يضيف,,
coverage,address,,,عنوان,,
coverage,advice,,,نصيحة,,
coverage,against,,,ضد,,
coverage,ago,,,منذ,,
coverage,air,,,هواء,,
coverage,almost,,,تقريبا,,
coverage,alone,,,وحيد,,
coverage,along,,,على طول,,
coverage,already,,,بالفعل,,
coverage,always,,,دائما,,
coverage,another,,,آخر,,
coverage,answer,,,يجيب,,
coverage,anyone,,,أي شخص,,
coverage,anything,,,أي شيء,,
coverage,anywhere,,,في أي مكان,,
coverage,around,,,حول,,
coverage,arrive,,,يصل,,
coverage,ask,,,يسأل,,
coverage,away,,,بعيدا,,
coverage,back,,,إلى الخلف,,
coverage,bag,,,حقيبة,,
coverage,bank,,,بنك/ضفة,,
coverage,bar,,,حانة,,
coverage,bed,,,سرير,,
coverage,begin,,,يبدأ,,
coverage,begun,,,بدأ,,
coverage,behind,,,خلف,,
coverage,believe,,,يصدق,,
coverage,belong,,,ينتمي,,
coverage,below,,,أسفل,,
coverage,beneath,,,تحت,,
coverage,beside,,,بجانب,,
coverage,best,,,الأفضل,,
coverage,better,,,أفضل,,
coverage,big,,,كبير,,
coverage,black,,,أسود,,
coverage,board,,,لوحة,,
coverage,book,,,كتاب,,
coverage,both,,,كلاهما,,
coverage,bottom,,,قاع,,
coverage,breakfast,,,فطور,,
coverage,bridge,,,جسر,,
coverage,bright,,,ساطع,,
coverage,brother,,,أخ,,
coverage,brought,,,أحضر,,
coverage,building,,,مبنى,,
coverage,burn,,,يحرق,,
coverage,bus,,,حافلة,,
coverage,business,,,عمل,,
coverage,cab,,,سيارة أجرة,,
coverage,cafe,,,مقهى,,
coverage,call,,,يتصل,,
coverage,calm,,,هادئ,,
coverage,came,,,جاء,,
coverage,cannot,,,لا يستطيع,,
coverage,cap,,,قبعة,,
coverage,car,,,سيارة,,
coverage,card,,,بطاقة,,
coverage,care,,,رعاية,,
coverage,careful,,,حذر,,
coverage,carry,,,يحمل,,
coverage,case,,,حالة,,
coverage,catch,,,يمسك,,
coverage,certain,,,مؤكد,,
coverage,chair,,,كرسي,,
coverage,chance,,,فرصة,,
coverage,change,,,يغير,,
coverage,circle,,,دائرة,,
coverage,city,,,مدينة,,
coverage,clean,,,نظيف,,
coverage,clear,,,واضح,,
coverage,climb,,,يتسلق,,
coverage,clock,,,ساعة,,
coverage,close,,,يغلق,,
coverage,cloth,,,قماش,,
coverage,coat,,,معطف,,
coverage,coffee,,,قهوة,,
coverage,cold,,,بارد,,
coverage,collar,,,ياقة,,
coverage,colour,,,لون,,
coverage,come,,,يأتي,,
coverage,comfortable,,,مريح,,
coverage,company,,,شركة,,
coverage,complete,,,كامل,,
coverage,corner,,,زاوية,,
coverage,cost,,,يكلف,,
coverage,count,,,يعد,,
coverage,counter,,,منضدة,,
coverage,country,,,بلد,,
coverage,course,,,دورة,,
coverage,cross,,,يعبر,,
coverage,cup,,,كوب,,
coverage,dad,,,أبي,,
coverage,dark,,,مظلم,,
coverage,date,,,تاريخ,,
coverage,dawn,,,فجر,,
coverage,day,,,يوم,,
coverage,dead,,,ميت,,
coverage,deal,,,صفقة,,
coverage,decide,,,يقرر,,
coverage,degree,,,درجة,,
coverage,delivery,,,توصيل,,
coverage,desk,,,مكتب,,
coverage,direction,,,اتجاه,,
coverage,door,,,باب,,
coverage,draw,,,يرسم,,
coverage,dress,,,فستان,,
coverage,drive,,,يقود,,
coverage,driver,,,سائق,,
coverage,dying,,,يحتضر,,
coverage,early,,,مبكرا,,
coverage,easy,,,سهل,,
coverage,edge,,,حافة,,
coverage,eight,,,ثمانية,,
coverage,either,,,أي,,
coverage,eleven,,,أحد عشر,,
coverage,else,,,آخر,,
coverage,empty,,,فارغ,,
coverage,end,,,نهاية,,
coverage,engine,,,محرك,,
coverage,enough,,,كافٍ,,
coverage,even,,,حتى,,
coverage,everybody,,,الجميع,,
coverage,everyone,,,الجميع,,
coverage,everything,,,كل شيء,,
coverage,everywhere,,,في كل مكان,,
coverage,exactly,,,بالضبط,,
coverage,except,,,إلا,,
coverage,exit,,,مخرج,,
coverage,expect,,,يتوقع,,
coverage,explain,,,يشرح,,
coverage,extra,,,إضافي,,
coverage,eye,,,عين,,
coverage,face,,,وجه,,
coverage,fact,,,حقيقة,,
coverage,far,,,بعيد,,
coverage,fast,,,سريع,,
coverage,father,,,أب,,
coverage,feel,,,يشعر,,
coverage,figure,,,شخص,,
coverage,final,,,نهائي,,
coverage,find,,,يجد,,
coverage,finger,,,إصبع,,
coverage,finish,,,ينهي,,
coverage,first,,,أول,,
coverage,five,,,خمسة,,
coverage,fix,,,يصلح,,
coverage,flat,,,شقة/مسطح,,
coverage,floor,,,أرضية/طابق,,
coverage,follow,,,يتبع,,
coverage,foot,,,قدم,,
coverage,force,,,قوة/يجبر,,
coverage,forgotten,,,منسي,,
coverage,form,,,استمارة,,
coverage,found,,,وجد,,
coverage,four,,,أربعة,,
coverage,fourth,,,رابع,,
coverage,free,,,حر/مجاني,,
coverage,front,,,أمام,,
coverage,full,,,ممتلئ,,
coverage,gap,,,فجوة,,
coverage,gate,,,بوابة,,
coverage,gather,,,يجمع,,
coverage,get,,,يحصل,,
coverage,girl,,,فتاة,,
coverage,give,,,يعطي,,
coverage,glass,,,زجاج,,
coverage,go,,,يذهب,,
coverage,gone,,,ذهب,,
coverage,good,,,جيد,,
coverage,got,,,حصل,,
coverage,great,,,عظيم,,
coverage,green,,,أخضر,,
coverage,grey,,,رمادي,,
coverage,grow,,,ينمو,,
coverage,guard,,,حارس,,
coverage,guess,,,يخمن,,
coverage,half,,,نصف,,
coverage,hall,,,قاعة,,
coverage,hand,,,يد,,
coverage,happen,,,يحدث,,
coverage,hard,,,صعب,,
coverage,hate,,,يكره,,
coverage,head,,,رأس,,
coverage,hear,,,يسمع,,
coverage,heard,,,سمع,,
coverage,heart,,,قلب,,
coverage,heater,,,مدفأة,,
coverage,help,,,يساعد,,
coverage,hidden,,,مخفي,,
coverage,high,,,عالٍ,,
coverage,hire,,,يوظف,,
coverage,hold,,,يمسك,,
coverage,home,,,بيت,,
coverage,honest,,,صادق,,
coverage,hope,,,يأمل,,
coverage,hot,,,حار,,
coverage,hotel,,,فندق,,
coverage,hour,,,ساعة,,
coverage,hundred,,,مئة,,
coverage,hurry,,,يسرع,,
coverage,hurt,,,يؤلم,,
coverage,hut,,,كوخ,,
coverage,idea,,,فكرة,,
coverage,inside,,,في الداخل,,
coverage,job,,,وظيفة,,
coverage,joke,,,نكتة,,
coverage,keep,,,يحتفظ,,
coverage,key,,,مفتاح,,
coverage,kind,,,لطيف,,
coverage,kitchen,,,مطبخ,,
coverage,know,,,يعرف,,
coverage,known,,,معروف,,
coverage,lamp,,,مصباح,,
coverage,large,,,كبير,,
coverage,last,,,أخير,,
coverage,late,,,متأخر,,
coverage,laugh,,,يضحك,,
coverage,learnt,,,تعلم,,
coverage,least,,,الأقل,,
coverage,leave,,,يغادر,,
coverage,left,,,يسار,,
coverage,length,,,طول,,
coverage,less,,,أقل,,
coverage,let,,,يترك,,
coverage,letter,,,رسالة,,
coverage,lie,,,يكذب/يستلقي,,
coverage,life,,,حياة,,
coverage,light,,,ضوء,,
coverage,like,,,مثل,,
coverage,line,,,خط,,
coverage,list,,,قائمة,,
coverage,listen,,,يستمع,,
coverage,little,,,قليل,,
coverage,load,,,يحمّل,,
coverage,lock,,,يقفل,,
coverage,long,,,طويل,,
coverage,look,,,ينظر,,
coverage,lose,,,يخسر,,
coverage,lost,,,ضائع,,
coverage,lot,,,كثير,,
coverage,loud,,,عالٍ,,
coverage,love,,,يحب,,
coverage,low,,,منخفض,,
coverage,luck,,,حظ,,
coverage,machine,,,آلة,,
coverage,man,,,رجل,,
coverage,manage,,,يدير,,
coverage,map,,,خريطة,,
coverage,mark,,,علامة,,
coverage,market,,,سوق,,
coverage,matter,,,يهم,,
coverage,maybe,,,ربما,,
coverage,mean,,,يعني,,
coverage,meant,,,قصد,,
coverage,meet,,,يقابل,,
coverage,met,,,قابل,,
coverage,metal,,,معدن,,
coverage,mind,,,عقل,,
coverage,minute,,,دقيقة,,
coverage,mirror,,,مرآة,,
coverage,miss,,,يفوت,,
coverage,mistake,,,خطأ,,
coverage,mobile,,,محمول,,
coverage,moment,,,لحظة,,
coverage,money,,,مال,,
coverage,month,,,شهر,,
coverage,morning,,,صباح,,
coverage,mother,,,أم,,
coverage,move,,,يتحرك,,
coverage,name,,,اسم,,
coverage,narrow,,,ضيق,,
coverage,near,,,قريب,,
coverage,neck,,,رقبة,,
coverage,need,,,يحتاج,,
coverage,never,,,أبدا,,
coverage,new,,,جديد,,
coverage,next,,,التالي,,
coverage,night,,,ليل,,
coverage,nine,,,تسعة,,
coverage,nobody,,,لا أحد,,
coverage,normal,,,عادي,,
coverage,note,,,ملاحظة,,
coverage,nothing,,,لا شيء,,
coverage,notice,,,يلاحظ,,
coverage,now,,,الآن,,
coverage,nowhere,,,لا مكان,,
coverage,number,,,رقم,,
coverage,odd,,,غريب,,
coverage,off,,,مطفأ,,
coverage,office,,,مكتب,,
coverage,old,,,قديم,,
coverage,onto,,,على,,
coverage,open,,,يفتح,,
coverage,other,,,آخر,,
coverage,outside,,,في الخارج,,
coverage,own,,,خاص,,
coverage,page,,,صفحة,,
coverage,paid,,,دفع,,
coverage,paint,,,طلاء,,
coverage,pair,,,زوج,,
coverage,paper,,,ورق,,
coverage,park,,,حديقة,,
coverage,part,,,جزء,,
coverage,pass,,,يمر,,
coverage,past,,,ماضٍ,,
coverage,pay,,,يدفع,,
coverage,people,,,الناس,,
coverage,perfect,,,مثالي,,
coverage,perhaps,,,ربما,,
coverage,person,,,شخص,,
coverage,phone,,,هاتف,,
coverage,photo,,,صورة,,
coverage,piece,,,قطعة,,
coverage,place,,,مكان,,
coverage,plain,,,بسيط,,
coverage,plant,,,نبات,,
coverage,platform,,,رصيف,,
coverage,please,,,من فضلك,,
coverage,pocket,,,جيب,,
coverage,point,,,نقطة,,
coverage,post,,,بريد,,
coverage,print,,,طباعة,,
coverage,probably,,,على الأرجح,,
coverage,problem,,,مشكلة,,
coverage,proof,,,دليل,,
coverage,prove,,,يثبت,,
coverage,pull,,,يسحب,,
coverage,push,,,يدفع,,
coverage,put,,,يضع,,
coverage,quarter,,,ربع,,
coverage,question,,,سؤال,,
coverage,quiet,,,هادئ,,
coverage,quietly,,,بهدوء,,
coverage,quite,,,تماما,,
coverage,radio,,,راديو,,
coverage,reach,,,يصل إلى,,
coverage,read,,,يقرأ,,
coverage,ready,,,جاهز,,
coverage,real,,,حقيقي,,
coverage,reason,,,سبب,,
coverage,register,,,يسجل,,
coverage,rest,,,راحة/بقية,,
coverage,return,,,يعود,,
coverage,right,,,صحيح,,
coverage,ring,,,يرن,,
coverage,river,,,نهر,,
coverage,road,,,طريق,,
coverage,room,,,غرفة,,
coverage,round,,,حول,,
coverage,rower,,,مجدف,,
coverage,rub,,,يفرك,,
coverage,run,,,يجري,,
coverage,said,,,قال,,
coverage,same,,,نفس,,
coverage,sat,,,جلس,,
coverage,save,,,يوفر,,
coverage,saw,,,رأى,,
coverage,say,,,يقول,,
coverage,second,,,ثانٍ,,
coverage,see,,,يرى,,
coverage,seem,,,يبدو,,
coverage,sell,,,يبيع,,
coverage,send,,,يرسل,,
coverage,sense,,,معنى,,
coverage,sent,,,أرسل,,
coverage,set,,,يضع,,
coverage,seven,,,سبعة,,
coverage,shake,,,يهز,,
coverage,shape,,,شكل,,
coverage,share,,,يشارك,,
coverage,sheet,,,ورقة,,
coverage,shop,,,متجر,,
coverage,short,,,قصير,,
coverage,shot,,,جرعة,,
coverage,shoulder,,,كتف,,
coverage,show,,,يظهر,,
coverage,shut,,,يغلق,,
coverage,side,,,جانب,,
coverage,sign,,,لافتة,,
coverage,silence,,,صمت,,
coverage,simple,,,بسيط,,
coverage,since,,,منذ,,
coverage,single,,,واحد,,
coverage,sister,,,أخت,,
coverage,sit,,,يجلس,,
coverage,six,,,ستة,,
coverage,sixty,,,ستون,,
coverage,sky,,,سماء,,
coverage,sleep,,,ينام,,
coverage,slow,,,بطيء,,
coverage,small,,,صغير,,
coverage,smart,,,أنيق,,
coverage,smell,,,رائحة,,
coverage,smile,,,يبتسم,,
coverage,smooth,,,أملس,,
coverage,soften,,,يلين,,
coverage,somebody,,,شخص ما,,
coverage,someone,,,شخص ما,,
coverage,something,,,شيء ما,,
coverage,somewhere,,,في مكان ما,,
coverage,sorry,,,آسف,,
coverage,sort,,,نوع,,
coverage,sound,,,صوت,,
coverage,spare,,,احتياطي,,
coverage,speak,,,يتحدث,,
coverage,spent,,,قضى/أنفق,,
coverage,spring,,,الربيع,,
coverage,square,,,ساحة,,
coverage,stairs,,,درج,,
coverage,stamp,,,طابع,,
coverage,stand,,,يقف,,
coverage,start,,,يبدأ,,
coverage,station,,,محطة,,
coverage,stay,,,يبقى,,
coverage,step,,,خطوة/درجة,,
coverage,still,,,لا يزال,,
coverage,stone,,,حجر,,
coverage,stop,,,يتوقف,,
coverage,story,,,قصة,,
coverage,straight,,,مستقيم,,
coverage,strange,,,غريب,,
coverage,stranger,,,غريب,,
coverage,street,,,شارع,,
coverage,strong,,,قوي,,
coverage,suit,,,بدلة,,
coverage,sure,,,متأكد,,
coverage,surprise,,,مفاجأة,,
coverage,swing,,,يتأرجح,,
coverage,table,,,طاولة,,
coverage,take,,,يأخذ,,
coverage,talk,,,يتكلم,,
coverage,taxi,,,سيارة أجرة,,
coverage,tea,,,شاي,,
coverage,telephone,,,هاتف,,
coverage,tell,,,يخبر,,
